,Name,Ratings,Duration,Language,Level,Total Ratings,Enrolled,Hours Per Week,Subtitles,Prerequisite,Link
0,Meta Database Engineer Professional Certificate,4.6,6,English,Beginner Level,144,"7,367",6,['English'],NA,https://www.coursera.org/professional-certificates/meta-database-engineer
1,IBM Data Analytics with Excel and R Professional Certificate,4.7,11,English,Beginner Level,"1,025","5,523",3,"['English,', 'Arabic,', 'French,', 'Portuguese', '(European),', 'Italian,', 'Vietnamese,', 'German,', 'Russian,', 'Spanish']",NA,https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel
2,IBM Data Warehouse Engineer Professional Certificate,4.7,8,English,Beginner Level,178,"2,829",4,"['English,', 'Arabic,', 'Persian']",NA,https://www.coursera.org/professional-certificates/data-warehouse-engineering
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/professional-certificates/tensorflow-in-practice
4,Microsoft Azure Data Scientist Associate (DP-100)  Professional Certificate,4.5,7,English,Intermediate Level,96,"4,746",4,['English'],NA,https://www.coursera.org/professional-certificates/azure-data-scientist
5,Microsoft Azure Data Engineering Associate (DP-203) Professional Certificate,4.4,13,English,Intermediate Level,297,"9,521",2,['English'],NA,https://www.coursera.org/professional-certificates/microsoft-azure-dp-203-data-engineering
6,IBM Machine Learning Professional Certificate,4.6,8,English,Intermediate Level,815,"3,607",3,"['English,', 'French,', 'Portuguese', '(European),', 'Russian,', 'Spanish']",NA,https://www.coursera.org/professional-certificates/ibm-machine-learning
7,SAS Advanced Programmer Professional Certificate,4.9,5,English,Intermediate Level,218,"4,685",4,"['English,', 'Arabic,', 'French,', 'Portuguese', '(European),', 'Italian,', 'Vietnamese,', 'German,', 'Russian,', 'Spanish']",NA,https://www.coursera.org/professional-certificates/sas-advanced-programmer
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/professional-certificates/certified-data-science-practitioner
9,CertNexus Certified Ethical Emerging Technologist Professional Certificate,4.6,8,English,Beginner Level,265,"8,506",3,"['English,', 'Arabic,', 'French,', 'Portuguese', '(European),', 'Italian,', 'Vietnamese,', 'German,', 'Russian,', 'Spanish']",NA,https://www.coursera.org/professional-certificates/certified-ethical-emerging-technologist
10,IBM AI Engineering Professional Certificate,4.5,9,English,Intermediate Level,"4,693","18,463",3,"['English,', 'Arabic,', 'French,', 'Portuguese', '(European),', 'Italian,', 'Vietnamese,', 'Korean,', 'German,', 'Russian,', 'Spanish']",NA,https://www.coursera.org/professional-certificates/ai-engineer
11,IBM Applied AI Professional Certificate,4.6,6,English,Beginner Level,"5,166","10,829",3,"['English,', 'Arabic,', 'French,', 'Portuguese', '(European),', 'Italian,', 'Vietnamese,', 'German,', 'Russian,', 'Spanish,', 'Korean']",NA,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
12,Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate,4.6,5,English,Intermediate Level,"6,370","70,478",3,"['English,', 'French,', 'Portuguese', '(European),', 'Russian,', 'Spanish']",NA,https://www.coursera.org/professional-certificates/gcp-data-engineering
13,SAS Programmer Professional Certificate,4.8,5,English,Beginner Level,"2,565","22,348",4,"['English,', 'Arabic,', 'French,', 'Portuguese', '(European),', 'Italian,', 'Vietnamese,', 'German,', 'Russian,', 'Spanish,', 'Persian']",NA,https://www.coursera.org/professional-certificates/sas-programming
14,SAS Visual Business Analytics Professional Certificate,4.7,3,English,Beginner Level,837,"17,920",4,['English'],NA,https://www.coursera.org/professional-certificates/sas-visual-business-analytics
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/mastertrack/data-analytics-managers-tufts
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/mastertrack/machine-learning-analytics-chicago
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/mastertrack/health-informatics-yale
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/mastertrack/big-data-asu
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/mastertrack/analitica-datos-visualizacion-prediccion-toma-decisiones-uniandes
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/mastertrack/introduccion-ciencia-datos-ucchile
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/certificates/data-science-machine-learning-iitr
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/certificates/digital-transformation-dartmouth
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/certificates/strategic-supply-chain-management-ai-iitr
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/certificates/data-driven-decision-making-iimk
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/certificates/machine-learning-finance-iitr
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/certificates/advanced-ai-ml-iitr
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.coursera.org/certificates/data-science-boulder
