Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
NA,1,1,17,95,787,1868,Notebooks Expert
"Chandannagar, West Bengal, India",NA,4,13,61,1545,1869,Datasets Expert
"Tehran, Tehran Province, Iran",NA,1,12,204,549,1872,Notebooks Expert
"Ankara, Ankara, Turkey",4,1,9,11,NA,1435,Notebooks Expert
,1,NA,6,54,1152,1873,Notebooks Expert
"Cham, Bavaria, Germany",NA,5,7,40,1785,1808,Notebooks Expert
"Leipzig, Saxony, Germany",1,NA,6,8,1750,1915,Notebooks Expert
NA,14,5,6,48,1665,1876,Datasets Expert
"Delhi, Delhi, India",2,8,8,79,1525,1919,Notebooks Expert
"Montreal, Quebec, Canada",2,NA,5,25,1715,1920,Notebooks Expert
NA,5,NA,6,2,1849,1923,Notebooks Expert
NA,3,NA,5,24,1779,1814,Notebooks Expert
"Dortmund, North Rhine-Westphalia, Germany",9,1,28,68,139,1928,Notebooks Expert
"Dhaka, Dhaka Division, Bangladesh",1,NA,7,15,1248,1880,Notebooks Expert
"Dhaka, Dhaka Division, Bangladesh",11,8,9,47,773,1882,Notebooks Expert
"Copenhagen, Denmark",NA,1,14,21,917,1883,Notebooks Expert
"Gothenburg, Västra Götaland County, Sweden",2,6,10,145,1165,1884,Notebooks Expert
"Thiruvananthapuram, Kerala, India",18,31,37,22,1508,1886,Notebooks Expert
"Osaka, Osaka, Japan",8,NA,28,83,658,1890,Notebooks Expert
"Vancouver, Washington, United States",11,14,11,664,136,1892,Datasets Expert
"Dublin, County Dublin, Ireland",4,NA,37,65,536,1894,Notebooks Expert
"Bengaluru, Karnataka, India",6,4,42,254,263,1895,Datasets Expert
"Hyderabad, Telangana, India",9,2,14,209,482,1897,Notebooks Expert
"Nashik, Maharashtra, India",8,1,51,23,1076,1864,Notebooks Expert
"Ankara, Ankara, Turkey",1,NA,9,342,637,1900,Notebooks Expert
"Toronto, Ontario, Canada",7,8,43,353,236,1901,Datasets Expert
"Dhaka, Dhaka Division, Bangladesh",1,32,35,12,1519,1902,Notebooks Expert
"Irbid, Irbid Governorate, Jordan",17,2,21,49,1239,1903,Notebooks Expert
"Almaty, Almaty Province, Kazakhstan",1,NA,10,63,1271,1905,Notebooks Expert
"Mumbai, Maharashtra, India",2,10,20,33,950,1941,Datasets Expert
"Surat, Gujarat, India",1,10,12,23,1137,1908,Datasets Expert
"Alwar, Rajasthan, India",NA,NA,6,200,494,1909,Notebooks Expert
"Pune, Maharashtra, India",1,5,28,22,1391,1870,Notebooks Expert
"Heidelberg, Baden-Württemberg, Germany",12,5,20,315,787,1910,Datasets Expert
"New Delhi, Delhi, India",12,NA,12,31,723,1911,Notebooks Expert
"İstanbul, İstanbul, Turkey",NA,NA,5,34,1021,1945,Notebooks Expert
"Dehradun, Uttarakhand, India",1,NA,7,3,856,1913,Notebooks Expert
"Faiyum Oasis, Faiyum Governorate, Egypt",NA,NA,9,26,1738,1777,Notebooks Expert
"Osaka, Osaka, Japan",NA,13,19,141,1869,1914,Notebooks Expert
"Hyderabad, Telangana, India",NA,NA,7,68,1530,1915,Notebooks Expert
"Hiratsuka, Kanagawa, Japan",2,NA,8,25,1191,1917,Notebooks Expert
"Mumbai, Maharashtra, India",4,2,9,2,1400,1918,Notebooks Expert
"Atlanta, Georgia, United States",18,5,11,10,1415,1948,Datasets Expert
"New Delhi, Delhi, India",1,NA,6,41,1824,1919,Notebooks Expert
"Łapy, Podlaskie Voivodeship, Poland",21,NA,26,67,820,1925,Competitions Expert
"Bengaluru, Karnataka, India",3,1,15,140,844,1926,Competitions Expert
"Hasselt, Flanders, Belgium",2,3,13,32,1234,1950,Notebooks Expert
"Singapore, Singapore",13,8,24,60,585,1927,Datasets Expert
NA,60,6,27,619,1469,1928,Competitions Expert
"Istanbul, Istanbul, Turkey",33,5,9,522,541,1930,Competitions Grandmaster
"Newcastle upon Tyne, England, United Kingdom",4,NA,9,70,777,1931,Notebooks Expert
"Santa Clara, California, United States",6,7,13,92,111,1951,Competitions Expert
"Seoul, Seoul, South Korea",23,10,15,498,126,1932,Competitions Master
"New York, New York, United States",32,122,20,593,968,1933,Competitions Master
"Rio de Janeiro, State of Rio de Janeiro, Brazil",11,6,18,11,1412,1954,Notebooks Expert
"Ankara, Ankara, Turkey",8,2,16,36,229,1887,Notebooks Expert
"Bangkok, Bangkok, Thailand",22,8,33,33,629,1934,Notebooks Expert
"Kharkiv, Kharkiv Oblast, Ukraine",2,NA,7,6,1156,1956,Notebooks Expert
"Ankara, Ankara, Turkey",2,NA,25,9,1875,1935,Notebooks Expert
NA,8,17,9,42,1262,1962,Competitions Expert
"Kolkata, West Bengal, India",NA,4,14,40,314,1963,Datasets Expert
"Chandigarh, Chandigarh, India",NA,1,9,25,1388,1964,Notebooks Expert
"Mumbai, Maharashtra, India",NA,1,14,59,1335,1937,Notebooks Expert
"New Delhi, Delhi, India",4,2,11,87,1472,1938,Notebooks Expert
"Dhaka, Dhaka Division, Bangladesh",NA,27,48,311,320,1939,Notebooks Expert
"Pune, Maharashtra, India",1,11,17,158,550,1966,Notebooks Expert
"Rabat, Rabat-Salé-Kénitra, Morocco",NA,NA,12,47,1294,1967,Notebooks Expert
