Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined
myominhtet,2041,expert,https://www.kaggle.com/myominhtet,0,0,5,49,3 years ago
Đặng Duy Thanh,2042,expert,https://www.kaggle.com/duythanhng,0,0,10,49,3 years ago
Abhijit Singh,2043,expert,https://www.kaggle.com/abhijitsingh001,0,1,10,49,2 years ago
Vishvanath Metkari,2044,expert,https://www.kaggle.com/ervishvanathmetkari,0,0,6,49,2 years ago
IAbhishekBhardwaj,2045,expert,https://www.kaggle.com/iabhishekbhardwaj,0,1,7,49,2 years ago
Saadman Sakib,2046,expert,https://www.kaggle.com/saadmansakib,0,1,4,49,2 years ago
Fariz Rizky Haykal Abdillah,2047,expert,https://www.kaggle.com/farizhaykal,0,0,6,49,2 years ago
Atom,2048,expert,https://www.kaggle.com/dextermojo,0,1,7,49,2 years ago
Raimondo Melis,2049,expert,https://www.kaggle.com/raimondomelis,0,0,5,49,2 years ago
Arhit Bose Tagore,2050,expert,https://www.kaggle.com/arhitbosetagore,0,1,8,49,2 years ago
Tanav Bajaj,2051,expert,https://www.kaggle.com/tanavbajaj,0,0,6,49,2 years ago
AqibRehman PirZada,2052,expert,https://www.kaggle.com/aqibrehmanpirzada,0,0,5,49,2 years ago
Guillermo García Cobo,2053,expert,https://www.kaggle.com/atmguille,0,0,8,49,2 years ago
Mohamed Khaled Elsafty,2054,expert,https://www.kaggle.com/mohamedkhaledelsafty,0,0,6,49,2 years ago
Farid Taghiyev,2055,expert,https://www.kaggle.com/faridtaghiyev,0,0,9,49,2 years ago
Vinayak Tiwari,2056,expert,https://www.kaggle.com/vinayaktiwari28,0,0,6,49,a year ago
Rajwinder2000,2057,expert,https://www.kaggle.com/rajwinder2000,0,1,7,49,a year ago
GyuTak,2058,expert,https://www.kaggle.com/formeforu,0,0,6,49,a year ago
Toygar Tanyel,2059,expert,https://www.kaggle.com/toygarr,0,1,5,49,a year ago
Ibrahim Serouis 99,2060,expert,https://www.kaggle.com/ibrahimserouis99,0,0,8,49,a year ago
dmitry_lessy,2061,expert,https://www.kaggle.com/dmitrylessy,0,1,4,49,a year ago
Sahar Garmsiri,2062,expert,https://www.kaggle.com/sahargarmsiri,0,1,5,49,a year ago
YiuKit Cheung,2063,expert,https://www.kaggle.com/yiukitcheung,0,2,3,49,8 months ago
Ankit Bhattacharyya,2064,expert,https://www.kaggle.com/ankitbhattacharyya,0,0,5,49,7 months ago
Faraz Munshi,2065,expert,https://www.kaggle.com/farazmunshi,0,0,6,49,7 months ago
Agustin222,2066,expert,https://www.kaggle.com/agustin222,0,0,5,49,7 months ago
fozia shareen,2067,expert,https://www.kaggle.com/foziashareen,0,0,6,49,4 months ago
Eu Jin Lok,2068,expert,https://www.kaggle.com/ejlok1,1,2,6,48,12 years ago
Aditya Bhatt,2069,expert,https://www.kaggle.com/adityabhat,0,1,6,48,7 years ago
Anubhav Singh,2070,expert,https://www.kaggle.com/anubhav1302,0,0,12,48,6 years ago
