Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined
Chris Deotte,1,grandmaster,https://www.kaggle.com/cdeotte,71,17,3,"4,949",5 years ago
Marília Prata,2,master,https://www.kaggle.com/mpwolke,12,39,448,"3,614",4 years ago
Abhishek Thakur,3,grandmaster,https://www.kaggle.com/abhishek,65,28,24,"3,176",12 years ago
AmbrosM,4,grandmaster,https://www.kaggle.com/ambrosm,28,8,8,"2,739",a year ago
Y.Nakama,5,grandmaster,https://www.kaggle.com/yasufuminakama,37,9,6,"2,629",5 years ago
Jeremy Howard,6,grandmaster,https://www.kaggle.com/jhoward,23,4,1,"2,247",12 years ago
Awsaf,7,grandmaster,https://www.kaggle.com/awsaf49,28,5,12,"2,202",3 years ago
Andrada Olteanu,8,grandmaster,https://www.kaggle.com/andradaolteanu,36,7,3,"2,122",3 years ago
DanB,9,grandmaster,https://www.kaggle.com/dansbecker,43,11,28,"1,957",12 years ago
Darien Schettler,10,grandmaster,https://www.kaggle.com/dschettler8845,18,21,50,"1,936",5 years ago
Rob Mulla,11,grandmaster,https://www.kaggle.com/robikscube,29,21,61,"1,751",6 years ago
Sanskar Hasija,12,grandmaster,https://www.kaggle.com/odins0n,24,14,2,"1,691",2 years ago
DATAI,13,grandmaster,https://www.kaggle.com/kanncaa1,20,7,6,"1,601",5 years ago
dataista0 (Julián Peller),14,grandmaster,https://www.kaggle.com/julian3833,20,13,20,"1,502",5 years ago
Prashant Banerjee,15,grandmaster,https://www.kaggle.com/prashant111,34,9,0,"1,484",4 years ago
Carl McBride Ellis,16,grandmaster,https://www.kaggle.com/carlmcbrideellis,18,28,62,"1,474",3 years ago
Martin Kovacevic Buvinic,17,grandmaster,https://www.kaggle.com/ragnar123,25,18,12,"1,456",5 years ago
Remek Kinas,18,grandmaster,https://www.kaggle.com/remekkinas,18,17,4,"1,396",3 years ago
torch,19,grandmaster,https://www.kaggle.com/rhtsingh,16,4,17,"1,347",5 years ago
The Devastator,20,grandmaster,https://www.kaggle.com/thedevastator,15,6,8,"1,333",5 months ago
Tensor Girl,21,grandmaster,https://www.kaggle.com/usharengaraju,21,0,0,"1,284",7 years ago
stpete_ishii,22,expert,https://www.kaggle.com/stpeteishii,0,2,95,"1,237",4 years ago
Samuel Cortinhas,23,master,https://www.kaggle.com/samuelcortinhas,9,10,34,"1,231",a year ago
Vitalii Mokin,24,grandmaster,https://www.kaggle.com/vbmokin,20,17,77,"1,223",5 years ago
chumajin,25,grandmaster,https://www.kaggle.com/chumajin,19,5,7,"1,198",3 years ago
Lucas Morin,26,grandmaster,https://www.kaggle.com/lucasmorin,15,17,30,"1,196",3 years ago
Subin An,27,grandmaster,https://www.kaggle.com/subinium,25,13,44,"1,193",4 years ago
Mr_KnowNothing,28,grandmaster,https://www.kaggle.com/tanulsingh077,17,5,6,"1,188",4 years ago
Debarshi Chanda,29,grandmaster,https://www.kaggle.com/debarshichanda,15,17,10,"1,185",3 years ago
OH SEOK KIM,30,grandmaster,https://www.kaggle.com/ohseokkim,20,12,5,"1,137",2 years ago
Gunes Evitan,31,master,https://www.kaggle.com/gunesevitan,12,10,12,"1,115",4 years ago
SRK,32,grandmaster,https://www.kaggle.com/sudalairajkumar,30,15,23,"1,102",10 years ago
Andrew Lukyanenko,33,grandmaster,https://www.kaggle.com/artgor,43,24,24,"1,095",6 years ago
Hasan Basri Akçay,34,master,https://www.kaggle.com/hasanbasriakcay,14,15,9,"1,081",3 years ago
Konrad Banachewicz,35,master,https://www.kaggle.com/konradb,13,19,35,"1,061",12 years ago
Azmine Toushik Wasi,36,grandmaster,https://www.kaggle.com/azminetoushikwasi,15,2,0,"1,055",2 years ago
Yaroslav Isaienkov,37,grandmaster,https://www.kaggle.com/ihelon,18,3,14,"1,053",5 years ago
Gabriel Preda,38,grandmaster,https://www.kaggle.com/gpreda,32,30,68,"1,043",6 years ago
tito,39,grandmaster,https://www.kaggle.com/its7171,20,4,5,"1,016",7 years ago
Bojan Tunguz,40,grandmaster,https://www.kaggle.com/tunguz,24,54,166,"1,006",7 years ago
Luo,41,master,https://www.kaggle.com/ryanluoli2,13,7,2,"1,003",6 months ago
Alexander Ryzhkov,42,grandmaster,https://www.kaggle.com/alexryzhkov,16,7,24,986,11 years ago
Leonie,43,grandmaster,https://www.kaggle.com/iamleonie,19,5,12,981,3 years ago
raddar,44,grandmaster,https://www.kaggle.com/raddar,16,12,11,972,7 years ago
xhlulu,45,grandmaster,https://www.kaggle.com/xhlulu,31,17,37,970,4 years ago
Ruchi Bhatia,46,grandmaster,https://www.kaggle.com/ruchi798,21,4,0,965,3 years ago
Mustanger,47,grandmaster,https://www.kaggle.com/eisgandar,15,1,10,964,5 months ago
Vopani,48,grandmaster,https://www.kaggle.com/rohanrao,18,11,7,961,9 years ago
Gaurav Dutta,49,expert,https://www.kaggle.com/gauravduttakiit,0,4,96,956,3 years ago
Karnika Kapoor,50,grandmaster,https://www.kaggle.com/karnikakapoor,15,0,0,934,3 years ago
Ammar Alhaj Ali,51,grandmaster,https://www.kaggle.com/ammarnassanalhajali,15,12,22,932,2 years ago
Shivam Bansal,52,grandmaster,https://www.kaggle.com/shivamb,27,11,30,925,5 years ago
Georgy Zubkov,53,grandmaster,https://www.kaggle.com/georgyzubkov,15,2,4,914,2 years ago
Parul Pandey,54,grandmaster,https://www.kaggle.com/parulpandey,18,17,16,909,7 years ago
Mario Caesar,55,grandmaster,https://www.kaggle.com/caesarmario,16,2,0,900,3 years ago
Heads or Tails,56,grandmaster,https://www.kaggle.com/headsortails,23,0,0,898,6 years ago
Rachael Tatman,57,grandmaster,https://www.kaggle.com/rtatman,34,29,63,896,5 years ago
Afroz,58,grandmaster,https://www.kaggle.com/pythonafroz,15,1,1,876,a year ago
Devlikamov Vlad,59,grandmaster,https://www.kaggle.com/lordozvlad,16,0,0,873,2 years ago
Matt OP,60,master,https://www.kaggle.com/mattop,2,15,37,848,5 months ago
Theo Viel,61,grandmaster,https://www.kaggle.com/theoviel,15,15,10,847,4 years ago
Devashree Madhugiri,62,master,https://www.kaggle.com/devsubhash,8,13,14,835,3 years ago
Sandeep Bansode,63,master,https://www.kaggle.com/bansodesandeep,14,0,1,829,4 months ago
Tetsuya Sasaki,64,expert,https://www.kaggle.com/sasakitetsuya,0,5,104,821,2 years ago
Ahmet Erdem,65,grandmaster,https://www.kaggle.com/aerdem4,15,17,20,817,7 years ago
ootake,66,master,https://www.kaggle.com/ootake,12,16,5,816,a year ago
Rohan Ambad,67,grandmaster,https://www.kaggle.com/rohanambad,15,0,2,805,3 months ago
ilovescience,68,grandmaster,https://www.kaggle.com/tanlikesmath,16,8,17,794,6 years ago
Vladimir Slaykovskiy,69,master,https://www.kaggle.com/vslaykovsky,6,4,8,790,6 years ago
Aleksey Bilogur,70,grandmaster,https://www.kaggle.com/residentmario,19,15,48,789,6 years ago
Kelli Belcher,71,master,https://www.kaggle.com/kellibelcher,8,4,1,779,2 years ago
Fares Sayah,72,master,https://www.kaggle.com/faressayah,12,17,16,775,3 years ago
Luca Massaron,73,master,https://www.kaggle.com/lucamassaron,9,11,27,774,11 years ago
Hidehisa Arai,74,grandmaster,https://www.kaggle.com/hidehisaarai1213,15,4,10,764,5 years ago
Yassine Ghouzam,75,expert,https://www.kaggle.com/yassineghouzam,4,0,2,762,5 years ago
Andrey Shtrauss,76,grandmaster,https://www.kaggle.com/shtrausslearning,18,5,1,761,2 years ago
AndresHG,77,grandmaster,https://www.kaggle.com/andreshg,16,6,2,759,3 years ago
BIZEN,78,master,https://www.kaggle.com/hiro5299834,5,18,18,757,8 years ago
Laura Fink,79,grandmaster,https://www.kaggle.com/allunia,20,10,3,745,7 years ago
Ishan Dutta,80,master,https://www.kaggle.com/ishandutta,8,11,8,729,3 years ago
Tanay Mehta,81,grandmaster,https://www.kaggle.com/heyytanay,15,12,30,719,3 years ago
Vadim Irtlach,82,master,https://www.kaggle.com/vad13irt,2,13,11,718,2 years ago
Muhammad Ahmed,83,grandmaster,https://www.kaggle.com/muhammadahmed68,15,0,0,716,2 years ago
Alex Shonenkov,84,grandmaster,https://www.kaggle.com/shonenkov,18,5,6,708,4 years ago
Ertuğrul Demir,85,grandmaster,https://www.kaggle.com/datafan07,17,2,5,707,3 years ago
Zahra Amini,86,master,https://www.kaggle.com/aminizahra,5,25,9,700,a year ago
Jirka Borovec,87,master,https://www.kaggle.com/jirkaborovec,3,16,27,696,2 years ago
Darek Kłeczek,88,master,https://www.kaggle.com/thedrcat,9,10,14,695,5 years ago
Janio Martinez Bachmann,89,grandmaster,https://www.kaggle.com/janiobachmann,15,3,1,693,5 years ago
VinceVence,90,master,https://www.kaggle.com/vencerlanz09,6,5,13,693,4 years ago
ColinMorris,91,master,https://www.kaggle.com/colinmorris,11,6,10,691,7 years ago
Ms. Nancy Al Aswad,92,master,https://www.kaggle.com/nancyalaswad90,7,11,9,690,4 years ago
mugen88,93,grandmaster,https://www.kaggle.com/mugentk,18,9,12,688,3 years ago
Batucan Senkal,94,master,https://www.kaggle.com/psycon,5,12,2,685,2 years ago
blue7red,95,expert,https://www.kaggle.com/rhythmcam,0,1,53,684,a year ago
Shahules,96,grandmaster,https://www.kaggle.com/shahules,15,7,9,669,5 years ago
Ayush Thakur,97,master,https://www.kaggle.com/ayuraj,7,15,26,656,4 years ago
Yirun Zhang,98,grandmaster,https://www.kaggle.com/gogo827jz,18,12,14,653,3 years ago
Michal Bogacz,99,grandmaster,https://www.kaggle.com/michau96,16,13,5,647,4 years ago
C4rl05/V,100,master,https://www.kaggle.com/cv13j0,3,13,29,638,6 years ago
Pavan Sanagapati,101,master,https://www.kaggle.com/pavansanagapati,9,3,8,634,5 years ago
Gerry,102,expert,https://www.kaggle.com/gpiosenka,0,0,42,634,4 years ago
Mohamed Bakrey,103,master,https://www.kaggle.com/mohamedbakrey,2,16,58,634,2 years ago
Kostiantyn Isaienkov,104,grandmaster,https://www.kaggle.com/isaienkov,19,10,22,624,6 years ago
Slawek Biel,105,master,https://www.kaggle.com/slawekbiel,7,7,6,620,4 years ago
yone-moto,106,master,https://www.kaggle.com/tyonemoto,2,25,9,614,2 years ago
Giba,107,grandmaster,https://www.kaggle.com/titericz,17,18,29,613,10 years ago
bexgboost,108,master,https://www.kaggle.com/bextuychiev,12,6,4,609,3 years ago
Paulo Pinto,109,grandmaster,https://www.kaggle.com/paulorzp,16,16,35,606,7 years ago
Arezoo Dahesh,110,master,https://www.kaggle.com/arezoodahesh,12,4,0,606,2 years ago
Yury Kashnitsky,111,grandmaster,https://www.kaggle.com/kashnitsky,16,18,31,599,9 years ago
des.,112,master,https://www.kaggle.com/desalegngeb,7,15,8,596,2 years ago
Ekrem Bayar,113,grandmaster,https://www.kaggle.com/ekrembayar,16,6,16,595,5 years ago
Chris X,114,master,https://www.kaggle.com/docxian,0,12,110,595,5 years ago
Sourav Banerjee,115,master,https://www.kaggle.com/iamsouravbanerjee,11,0,0,594,2 years ago
DimitreOliveira,116,grandmaster,https://www.kaggle.com/dimitreoliveira,16,12,23,592,5 years ago
corochann,117,grandmaster,https://www.kaggle.com/corochann,16,5,10,588,7 years ago
AvikumarT,118,master,https://www.kaggle.com/avikumart,4,10,10,586,a year ago
Alin Cijov,119,grandmaster,https://www.kaggle.com/alincijov,15,0,40,585,2 years ago
Fahad Mehfooz,120,grandmaster,https://www.kaggle.com/fahadmehfoooz,15,5,0,585,2 years ago
Lonnie,121,master,https://www.kaggle.com/lonnieqin,2,10,43,584,3 years ago
Iafoss,122,grandmaster,https://www.kaggle.com/iafoss,19,2,9,583,5 years ago
Hamza,123,master,https://www.kaggle.com/hamzaghanmi,8,10,9,581,3 years ago
Erik Bruin,124,grandmaster,https://www.kaggle.com/erikbruin,15,2,0,576,5 years ago
Sharlto Cope,125,grandmaster,https://www.kaggle.com/dwin183287,16,2,1,571,9 years ago
Peter,126,grandmaster,https://www.kaggle.com/pestipeti,18,15,7,569,6 years ago
Robin S.,127,grandmaster,https://www.kaggle.com/heyrobin,15,0,0,565,2 years ago
VK,128,master,https://www.kaggle.com/venkatkumar001,1,10,38,563,2 years ago
Serigne,129,expert,https://www.kaggle.com/serigne,2,1,3,562,6 years ago
Abir CHakraborty,130,master,https://www.kaggle.com/ac1414,3,12,0,562,9 months ago
Anisotropic,131,grandmaster,https://www.kaggle.com/arthurtok,16,4,3,561,6 years ago
JeongBin Park,132,master,https://www.kaggle.com/jeongbinpark,5,22,23,560,2 years ago
Khashayar Rahimi,133,master,https://www.kaggle.com/khashayarrahimi94,10,0,0,559,9 months ago
M. Gagan Chandra,134,master,https://www.kaggle.com/gaganmaahi224,4,21,16,557,2 years ago
Tarun Paparaju,135,grandmaster,https://www.kaggle.com/tarunpaparaju,17,7,10,555,5 years ago
Varun Sai Kanuri,136,master,https://www.kaggle.com/varunsaikanuri,6,5,1,542,9 months ago
Torch me,137,master,https://www.kaggle.com/kartushovdanil,6,6,2,522,2 years ago
Padmavathi D,138,master,https://www.kaggle.com/aishwarya2210,10,5,1,522,10 months ago
Nicholas Broad,139,master,https://www.kaggle.com/nbroad,7,5,10,519,3 years ago
Abhinand,140,master,https://www.kaggle.com/abhinand05,7,6,0,516,4 years ago
Pavithra Devi M,141,master,https://www.kaggle.com/ninjaac,6,10,11,515,3 years ago
Anubhav Goyal,142,master,https://www.kaggle.com/anubhavgoyal10,2,14,1,512,9 months ago
Mark Wijkhuizen,143,master,https://www.kaggle.com/markwijkhuizen,5,11,15,510,3 years ago
Konstantin Yakovlev,144,grandmaster,https://www.kaggle.com/kyakovlev,17,14,10,494,4 years ago
Siddharth Yadav,145,master,https://www.kaggle.com/thebrownviking20,6,7,8,493,5 years ago
Ram Jas,146,master,https://www.kaggle.com/ramjasmaurya,3,9,16,492,2 years ago
,147,master,https://www.kaggle.com/hengck23,5,13,8,491,9 years ago
Sugata Ghosh,148,master,https://www.kaggle.com/sugataghosh,5,6,5,490,2 years ago
kkiller,149,master,https://www.kaggle.com/kneroma,8,14,9,488,5 years ago
Laurent Pourchot,150,master,https://www.kaggle.com/pourchot,4,13,14,484,2 years ago
Meet Nagadia,151,expert,https://www.kaggle.com/meetnagadia,0,8,55,482,2 years ago
Heroseo,152,master,https://www.kaggle.com/piantic,9,8,12,477,3 years ago
Junji Takeshima,153,master,https://www.kaggle.com/junjitakeshima,6,6,5,477,a year ago
Will Koehrsen,154,master,https://www.kaggle.com/willkoehrsen,12,3,2,476,6 years ago
Manav,155,master,https://www.kaggle.com/manabendrarout,6,8,14,474,4 years ago
Brenda N,156,master,https://www.kaggle.com/brendan45774,9,11,0,473,4 years ago
YuyaYamamoto,157,master,https://www.kaggle.com/nejumi,10,8,14,468,7 years ago
Nghi Huynh,158,master,https://www.kaggle.com/nghihuynh,3,8,6,468,2 years ago
Wongi Park,159,master,https://www.kaggle.com/kalelpark,4,11,8,467,a year ago
Shubham Trivedi,160,master,https://www.kaggle.com/shubhamptrivedi,3,14,0,464,a year ago
Vahideh Dashti,161,grandmaster,https://www.kaggle.com/vahidehdashti,16,0,0,462,2 years ago
tensor choko,162,master,https://www.kaggle.com/tensorchoko,1,12,31,460,3 years ago
radmirkaz,163,master,https://www.kaggle.com/hijest,9,11,10,459,2 years ago
Quadeer Shaikh,164,master,https://www.kaggle.com/quadeer15sh,1,16,0,454,4 years ago
Tarek Hamdi,165,master,https://www.kaggle.com/hamditarek,12,9,22,453,5 years ago
Nguyen Thi Cam Lai,166,master,https://www.kaggle.com/nguyenthicamlai,4,6,1,450,3 months ago
chazzer,167,expert,https://www.kaggle.com/chazzer,3,5,10,449,2 years ago
DLastStark,168,expert,https://www.kaggle.com/dlaststark,5,4,16,446,2 years ago
katsu1110,169,master,https://www.kaggle.com/code1110,6,15,29,445,6 years ago
Muhammed Tausif,170,master,https://www.kaggle.com/muhammedtausif,1,11,13,445,3 years ago
Kishal Mandal,171,master,https://www.kaggle.com/kishalmandal,3,13,21,444,2 years ago
Anandhu H,172,master,https://www.kaggle.com/anandhuh,7,13,0,443,2 years ago
Andrej Marinchenko,173,master,https://www.kaggle.com/andrej0marinchenko,2,9,26,441,a year ago
Varun Nagpal Spyz,174,master,https://www.kaggle.com/varunnagpalspyz,1,13,10,438,10 months ago
Cabaxiom,175,expert,https://www.kaggle.com/cabaxiom,3,4,9,436,3 years ago
Jillani Soft Tech,176,master,https://www.kaggle.com/jillanisofttech,0,11,33,436,a year ago
Ravi Ramakrishnan,177,master,https://www.kaggle.com/ravi20076,4,7,3,430,a year ago
Ashwini Swain,178,master,https://www.kaggle.com/ash316,9,9,5,428,6 years ago
Kheirallah Samaha,179,master,https://www.kaggle.com/khsamaha,3,22,16,425,6 years ago
Ishara Neranjana,180,master,https://www.kaggle.com/sisharaneranjana,8,5,0,424,2 years ago
Qusay AL-Btoush,181,master,https://www.kaggle.com/qusaybtoush1990,0,15,17,424,8 months ago
Kabir Ivan,182,master,https://www.kaggle.com/realneuralnetwork,3,10,4,422,2 years ago
kaerururu,183,master,https://www.kaggle.com/kaerunantoka,4,7,11,418,4 years ago
HASIB AL MUZDADID,184,master,https://www.kaggle.com/hasibalmuzdadid,5,5,0,415,a year ago
NAIN,185,master,https://www.kaggle.com/aakashnain,5,21,21,414,7 years ago
Serkan Polat,186,master,https://www.kaggle.com/serkanp,1,10,8,414,9 months ago
Kaan BOKE,187,master,https://www.kaggle.com/kaanboke,7,11,4,410,a year ago
Muhammad Imran Zaman,188,master,https://www.kaggle.com/muhammadimran112233,5,8,9,409,2 years ago
Sercan Yeşilöz,189,master,https://www.kaggle.com/sercanyesiloz,5,10,10,408,4 years ago
Lunana,190,master,https://www.kaggle.com/lunapandachan,1,11,5,408,a year ago
Usama Baloch,191,master,https://www.kaggle.com/usamabalochhh,2,9,3,404,6 months ago
JohnM,192,grandmaster,https://www.kaggle.com/jpmiller,15,9,15,403,7 years ago
M.Innat,193,master,https://www.kaggle.com/ipythonx,8,9,20,403,4 years ago
🚀𝐒𝐨𝐧𝐚𝐥𝐢 𝐒𝐢𝐧𝐠𝐡,194,master,https://www.kaggle.com/sonalisingh1411,2,18,1,403,3 years ago
Kalilur Rahman,195,master,https://www.kaggle.com/kalilurrahman,1,11,43,403,3 years ago
Wei Hao Khoong,196,grandmaster,https://www.kaggle.com/khoongweihao,16,8,16,401,5 years ago
Caesar Lupum,197,master,https://www.kaggle.com/caesarlupum,9,6,47,401,3 years ago
Nitesh Yadav,198,master,https://www.kaggle.com/niteshyadav3103,9,8,1,401,2 years ago
Halime Doğan,199,master,https://www.kaggle.com/halimedogan,4,13,0,401,2 years ago
Lex Toumbourou,200,master,https://www.kaggle.com/lextoumbourou,3,8,15,394,11 years ago
Leo0523,201,master,https://www.kaggle.com/hattan0523,4,8,2,394,4 years ago
Thomas Konstantin,202,master,https://www.kaggle.com/thomaskonstantin,6,17,26,393,3 years ago
Kunaal Naik,203,master,https://www.kaggle.com/funxexcel,7,7,13,391,5 years ago
KS,204,master,https://www.kaggle.com/ks2019,5,5,7,391,4 years ago
Leonardo Ferreira,205,grandmaster,https://www.kaggle.com/kabure,17,11,14,388,5 years ago
Francisco Javier Gallego,206,expert,https://www.kaggle.com/javigallego,4,5,4,387,8 months ago
Arsh Anwar,207,master,https://www.kaggle.com/d4rklucif3r,2,21,7,386,2 years ago
Tawara,208,master,https://www.kaggle.com/ttahara,7,13,12,385,7 years ago
SandhyaKrishnan02,209,master,https://www.kaggle.com/sandhyakrishnan02,5,10,3,385,2 years ago
🌵,210,master,https://www.kaggle.com/frankmollard,11,13,21,384,3 years ago
Ludovico Cuoghi,211,master,https://www.kaggle.com/ludovicocuoghi,3,15,1,383,2 years ago
Jiwei Liu,212,master,https://www.kaggle.com/jiweiliu,6,7,7,382,9 years ago
Firuz Juraev,213,master,https://www.kaggle.com/firuzjuraev,2,13,0,382,4 years ago
Mehran Kazeminia,214,master,https://www.kaggle.com/mehrankazeminia,2,15,13,380,3 years ago
Mobassir,215,grandmaster,https://www.kaggle.com/mobassir,18,6,8,379,4 years ago
