Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank
"Banswara, Rajasthan, India",5,NA,11,271,146
"Bengaluru, Karnataka, India",NA,NA,11,180,216
NA,10,1,22,67,616
"Saint Petersburg, Russia",NA,5,11,100,433
"Bengaluru, Karnataka, India",32,13,31,"2,174",76
"Seoul, Seoul, South Korea",18,1,13,22,409
"Dhaka, Dhaka Division, Bangladesh",14,3,17,76,478
"Dombivli, Maharashtra, India",2,1,8,91,609
"Paris, Île-de-France, France",1,4,7,185,623
"George Town, Penang, Malaysia",8,1,10,71,616
"Gimpo-si, Gyeonggi-do, South Korea",6,NA,9,69,NA
"Vienna, Vienna, Austria",59,7,17,"2,173",254
"Overland Park, Kansas, United States",8,4,36,263,116
NA,5,10,51,269,509
"San José, San José Province, Costa Rica",19,NA,12,720,75
"Cairo, Cairo Governorate, Egypt",3,8,22,1,585
"Tempe, Arizona, United States",5,22,80,21,631
,2,NA,19,120,563
"Delhi, Delhi, India",8,7,38,230,100
"São Paulo, State of São Paulo, Brazil",8,13,27,299,94
"Paris, Île-de-France, France",18,1,17,234,123
"Kasaragod, Kerala, India",5,15,66,125,76
"New Delhi, Delhi, India",5,NA,24,238,522
NA,1,3,7,112,NA
"Amsterdam, North Holland, Netherlands",34,3,22,305,341
NA,9,1,12,29,433
NA,3,10,19,448,188
"Tehran, Tehran Province, Iran",NA,25,85,175,322
"Cheongju-si, Chungcheongbuk-do, South Korea",32,126,61,125,323
"Manila, Metro Manila, Philippines",NA,20,33,166,642
"Nazareth, Tamil Nadu, India",NA,3,10,61,473
"Thane, Maharashtra, India",8,7,33,365,154
"Uppsala, Uppsala County, Sweden",1,8,28,252,NA
"Surat, Gujarat, India",10,2,14,128,114
"Jaipur, Rajasthan, India",1,1,8,391,648
"Sakarya, Sakarya, Turkey",1,NA,6,46,623
"Yerevan, Yerevan, Armenia",63,216,22,757,355
"Seoul, Seoul, South Korea",93,9,31,152,79
NA,3,NA,23,91,648
"Boston, Massachusetts, United States",13,5,20,378,163
"İstanbul, Turkey",20,2,9,46,614
"Anantapur, Andhra Pradesh, India",2,2,9,165,651
"San Francisco, California, United States",55,16,746,"1,779",531
"London, England, United Kingdom",88,3,237,"1,736",6
"Basavakalyan, Karnataka, India",1,NA,10,239,653
"Hyderabad, Telangana, India",36,6,27,131,474
"Jalpaiguri, West Bengal, India",12,3,41,127,502
"Bengaluru, Karnataka, India",11,36,33,109,253
"Tokyo, Tokyo, Japan",9,1,17,49,581
"Alexandria, Alexandria Governorate, Egypt",1,3,8,360,528
"Coimbatore, Tamil Nadu, India",NA,9,11,267,601
"Montreal, Quebec, Canada",NA,NA,8,14,544
"Anand, Gujarat, India",2,5,23,117,564
"Chiang Mai, Chiang Mai, Thailand",50,13,49,200,162
"Pune, Maharashtra, India",12,1,44,124,175
"Port Fuad, Port Said Governorate, Egypt",13,NA,24,382,211
"Mumbai, Maharashtra, India",2,4,10,371,219
"Jastrzębie-Zdrój, Silesian Voivodeship, Poland",12,5,17,383,404
"Ottawa, Ontario, Canada",3,6,12,5,628
"Tel Aviv-Yafo, Tel Aviv District, Israel",21,2,11,78,573
"Hanoi, Hanoi, Vietnam",8,1,12,143,356
"Chicago, Illinois, United States",NA,NA,5,108,635
"Kanpur, Uttar Pradesh, India",13,7,27,776,142
NA,21,6,88,40,655
"Mangaluru, Karnataka, India",1,NA,21,50,425
NA,24,6,22,37,462
"Neuchâtel, Neuchâtel, Switzerland",6,9,8,15,613
NA,4,7,34,43,674
"Giza, Giza Governorate, Egypt",NA,13,29,161,338
"Hyderabad, Telangana, India",2,NA,8,25,680
"Manila, Metro Manila, Philippines",NA,5,12,149,573
"Kolkata, West Bengal, India",42,17,129,683,15
"Tel Aviv-Yafo, Tel Aviv District, Israel",104,19,211,531,100
"6th of October City, Giza Governorate, Egypt",14,NA,26,71,582
"Nagpur, Maharashtra, India",1,5,29,38,649
"Greater Noida, Uttar Pradesh, India",7,3,22,178,182
"Lexington, Kentucky, United States",12,22,55,139,572
"Guildford, England, United Kingdom",76,5,120,613,1
"Yokohama, Kanagawa, Japan",39,87,30,100,90
"Cairo, Cairo Governorate, Egypt",NA,4,17,201,NA
"Ahmedabad, Gujarat, India",1,14,13,245,512
"Hamedan, Hamadan Province, Iran",1,4,6,44,694
"London, England, United Kingdom",38,6,11,514,413
"Leuven, Flanders, Belgium",13,6,14,226,76
"Tokyo, Tokyo, Japan",6,NA,6,28,402
"Heidelberg, Baden-Württemberg, Germany",16,4,7,257,141
"Los Angeles, California, United States",13,11,11,261,250
"New Delhi, Delhi, India",NA,6,47,291,134
"Isparta, Isparta, Turkey",1,1,13,159,437
,12,12,14,644,538
"Miami, Florida, United States",3,8,11,394,116
"Bengaluru, Karnataka, India",1,NA,8,85,598
"Dubai, Dubai, United Arab Emirates",3,11,26,248,625
"Paris, Île-de-France, France",NA,3,10,72,363
"Bhopal, Madhya Pradesh, India",NA,5,12,34,509
"London, England, United Kingdom",26,6,30,187,520
"Suzhou, Jiangsu, China",46,110,29,28,448
"Mission Viejo, California, United States",NA,NA,16,134,474
"Faisalabad, Punjab, Pakistan",NA,NA,7,239,707
NA,NA,3,7,160,706
"Halden, Viken, Norway",4,6,15,258,126
"Mumbai, Maharashtra, India",18,3,11,69,594
"Greater Noida, Uttar Pradesh, India",NA,3,7,404,291
"Karachi, Sindh, Pakistan",NA,22,46,198,698
"Kharagpur, West Bengal, India",14,11,40,217,293
"Ahmedabad, Gujarat, India",16,1,13,489,403
"İstanbul, İstanbul, Turkey",1,5,26,136,362
"Coimbra, Coimbra District, Portugal",NA,NA,5,385,534
"İzmir, İzmir, Turkey",2,NA,10,43,683
,11,2,11,53,718
"Chennai, Tamil Nadu, India",9,23,30,298,582
NA,26,NA,18,1,670
"Alicante, Valencian Community, Spain",1,1,11,176,690
"İstanbul, İstanbul, Turkey",2,2,20,49,177
"Moscow, Russia",8,2,11,68,196
"Ranchi, Jharkhand, India",8,4,43,282,110
"Nuremberg, Bavaria, Germany",12,NA,15,98,444
"Mumbai, Maharashtra, India",NA,15,28,263,157
"Alexandria, Alexandria Governorate, Egypt",NA,NA,13,513,205
"Puducherry, Puducherry, India",5,1,9,186,599
"New York, New York, United States",25,NA,75,113,1
"Bengaluru, Karnataka, India",11,NA,9,145,704
"Belo Horizonte, State of Minas Gerais, Brazil",2,NA,20,129,715
"Gazipur, Dhaka Division, Bangladesh",22,17,56,280,137
"Tunis, Tunis, Tunisia",6,4,64,120,552
"Bengaluru, Karnataka, India",NA,8,27,480,117
"Jodhpur, Rajasthan, India",9,12,5,110,528
"Seoul, Seoul, South Korea",42,NA,13,86,493
"Mumbai, Maharashtra, India",3,20,29,311,704
"Kolkata, West Bengal, India",2,NA,14,298,155
"Prague, Prague, Czechia",NA,1,10,685,264
"San Francisco, California, United States",2,2,31,194,63
"Bengaluru, Karnataka, India",9,17,78,619,208
"Jashore, Khulna Division, Bangladesh",17,NA,44,202,189
"Ahmedabad, Gujarat, India",NA,3,15,208,551
"Mumbai, Maharashtra, India",4,11,20,416,182
NA,11,6,15,156,503
"Hà Nội, Vietnam",12,64,45,491,79
"Hazaribagh, Jharkhand, India",9,1,23,157,352
"Bengaluru, Karnataka, India",57,1,20,463,6
