,Title,Total Views,Upload Time,Duration,Subtitles,Link,Date
0,"$456,000 Squid Game In Real Life!",293M views,10 months ago,25:42,CC,https://www.youtube.com/watch?v=0e3GPea1Tyg,"Nov 25, 2021"
1,I Spent 50 Hours Buried Alive,197M views,1 year ago,12:40,CC,https://www.youtube.com/watch?v=9bqk6ZUsKyA,"Mar 28, 2021"
2,I Spent 50 Hours In Solitary Confinement,195M views,2 years ago,15:52,CC,https://www.youtube.com/watch?v=r7zJ8srwwjk,"May 31, 2020"
3,"Last To Leave Circle Wins $500,000",194M views,1 year ago,19:26,CC,https://www.youtube.com/watch?v=zxYjTTXc-J8,"Sep 1, 2021"
4,"Press This Button To Win $100,000!",192M views,1 year ago,15:30,CC,https://www.youtube.com/watch?v=GLoeAJUcz38,"Nov 15, 2020"
5,Anything You Can Fit In The Circle I’ll Pay For,176M views,2 years ago,20:00,CC,https://www.youtube.com/watch?v=yXWw0_UfSFg,"Mar 8, 2020"
6,I Put 100 Million Orbeez In My Friend's Backyard,171M views,3 years ago,14:45,,https://www.youtube.com/watch?v=3TflpIllQHY,"Nov 23, 2018"
7,"Going Through The Same Drive Thru 1,000 Times",164M views,3 years ago,15:38,CC,https://www.youtube.com/watch?v=QxGVgXf_LNk,"Oct 6, 2019"
8,"Would You Sit In Snakes For $10,000?",162M views,1 year ago,14:09,CC,https://www.youtube.com/watch?v=fMfipiV_17o,"Apr 11, 2021"
9,"I Ate A $70,000 Golden Pizza",160M views,2 years ago,13:10,CC,https://www.youtube.com/watch?v=F4Y3Pkn95GI,"Mar 1, 2020"
10,Would YOU Rather Have A Lamborghini or This House?,156M views,2 years ago,18:22,CC,https://www.youtube.com/watch?v=s1ax8Tx_Jz0,"Aug 23, 2020"
11,"Last To Leave $800,000 Island Keeps It",153M views,2 years ago,22:17,CC,https://www.youtube.com/watch?v=NkE0AMGzpJY,"Aug 16, 2020"
12,"Would You Rather Have $100,000 OR This Mystery Key?",146M views,2 years ago,18:21,CC,https://www.youtube.com/watch?v=_qAJMXfL6o0,"Jun 14, 2020"
13,If You Click This Video I'll Give My Friend .001$,142M views,2 years ago,17:21,CC,https://www.youtube.com/watch?v=YSoJPA8-oHc,"May 24, 2020"
14,"I Bought The World's Largest Mystery Box! ($500,000)",141M views,1 year ago,11:49,CC,https://www.youtube.com/watch?v=ayXxwJJId_c,"Apr 4, 2021"
15,"I Bought The World's Largest Firework ($600,000)",139M views,2 years ago,12:16,CC,https://www.youtube.com/watch?v=erQ_9yEz0ls,"Jul 4, 2020"
16,I Adopted EVERY Dog In A Dog Shelter,139M views,2 years ago,16:04,CC,https://www.youtube.com/watch?v=YQDDm9HLkV4,"Jul 24, 2020"
17,I Ate The World’s Largest Slice Of Pizza,138M views,2 years ago,8:03,CC,https://www.youtube.com/watch?v=Rj_vssRaZlQ,"Aug 2, 2020"
18,World’s Most Dangerous Escape Room!,137M views,8 months ago,8:01,CC,https://www.youtube.com/watch?v=3jS_yEK8qVI,"Jan 30, 2022"
19,I Went Back To 1st Grade For A Day,136M views,3 years ago,17:46,,https://www.youtube.com/watch?v=A-vX1AGBGsc,"Feb 1, 2019"
20,"I Ate $100,000 Golden Ice Cream",136M views,1 year ago,13:17,CC,https://www.youtube.com/watch?v=C680oxL__ck,"Jan 23, 2021"
21,Surviving 24 Hours Straight In The Bermuda Triangle,129M views,2 years ago,11:41,CC,https://www.youtube.com/watch?v=D9lVNzyhYnc,"Nov 10, 2019"
22,"Steal This $100,000 Diamond, You Keep It",126M views,1 year ago,14:03,CC,https://www.youtube.com/watch?v=Dc2ZRmuH5OM,"Nov 29, 2020"
23,Surviving 24 Hours On A Deserted Island,122M views,3 years ago,13:52,CC,https://www.youtube.com/watch?v=lBYC4_Lccjw,"Aug 23, 2019"
24,Spending 24 Hours On Top Of A Mountain,122M views,3 years ago,15:24,,https://www.youtube.com/watch?v=2eFSU7TFOnk,"Jun 14, 2019"
25,I Spent 24 Hours In A Doomsday Bunker,122M views,2 years ago,11:59,CC,https://www.youtube.com/watch?v=HBMmK1c44sE,"Apr 12, 2020"
26,I Survived 50 Hours In A Maximum Security Prison,121M views,1 year ago,12:38,CC,https://www.youtube.com/watch?v=nM89Wl03Q4g,"Jun 27, 2021"
27,I Gave My Credit Card To Random People,120M views,2 years ago,16:48,CC,https://www.youtube.com/watch?v=IYVjOfoU3uI,"Feb 2, 2020"
28,I Filled My Brother’s House With Slime & Bought Him A New One,120M views,2 years ago,10:25,CC,https://www.youtube.com/watch?v=vp5sSqyZ5Go,"Oct 11, 2020"
29,I Opened A Restaurant That Pays You To Eat At It,119M views,1 year ago,10:47,CC,https://www.youtube.com/watch?v=dg2Ag3e8W-Q,"Dec 20, 2020"
30,"Spending $1,000,000 In 24 Hours",119M views,2 years ago,15:56,CC,https://www.youtube.com/watch?v=bs0SWXbty18,"Dec 22, 2019"
31,"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",113M views,1 year ago,14:20,CC,https://www.youtube.com/watch?v=LeYsRMZFUq0,"Dec 16, 2020"
32,"Extreme $100,000 Game of Tag!",113M views,1 year ago,16:54,CC,https://www.youtube.com/watch?v=WcwGleN38zE,"Apr 18, 2021"
33,"Last To Leave Pool Of $20,000 Keeps It",111M views,3 years ago,16:39,CC,https://www.youtube.com/watch?v=bTrV5v7GLcQ,"Aug 25, 2019"
34,I Bought Everything In A Store - Challenge,111M views,3 years ago,16:56,,https://www.youtube.com/watch?v=ha4tRQwKIUg,"May 19, 2019"
35,I Built Willy Wonka's Chocolate Factory!,111M views,4 months ago,17:02,CC,https://www.youtube.com/watch?v=Hwybp38GnZw,"Jun 5, 2022"
36,"I Gave My 40,000,000th Subscriber 40 Cars",110M views,2 years ago,17:11,CC,https://www.youtube.com/watch?v=UE5AHE2Ypr8,"Sep 20, 2020"
37,"Last To Leave Revolving Door Wins $50,000",110M views,3 years ago,13:44,,https://www.youtube.com/watch?v=6wsFjjhZPJI,"Jul 3, 2019"
38,"Hit The Target, Win $300,000",110M views,1 year ago,15:04,CC,https://www.youtube.com/watch?v=NZlClr_ivb4,"Jun 13, 2021"
39,World's Largest Bowl Of Cereal,109M views,3 years ago,15:42,,https://www.youtube.com/watch?v=xRwy_rKc7gI,"May 16, 2019"
40,I Got Hunted By A Real Bounty Hunter,108M views,1 year ago,14:21,CC,https://www.youtube.com/watch?v=TQHEJj68Jew,"Apr 25, 2021"
41,"Eating A $10,000 Golden Steak (24k Gold)",107M views,3 years ago,16:30,,https://www.youtube.com/watch?v=7zi0bi-RDj4,"Jan 12, 2019"
42,I Got Hunted By The FBI,107M views,1 year ago,15:51,CC,https://www.youtube.com/watch?v=hxwpkM5w3Cc,"Aug 8, 2021"
43,I Won Every Prize At A Theme Park,106M views,3 years ago,13:22,CC,https://www.youtube.com/watch?v=UQtltNZ_pjs,"Aug 16, 2019"
44,Do Water Repellent Shoes Actually Work?,104M views,4 years ago,11:39,,https://www.youtube.com/watch?v=wbzD04leeLI,"Jun 23, 2018"
45,Spending 24 Hours Straight Under Water Challenge,104M views,4 years ago,15:11,,https://www.youtube.com/watch?v=6_im_hGxGRk,"Aug 25, 2018"
46,Make This Video The Most Liked Video On Youtube,104M views,3 years ago,13:11,,https://www.youtube.com/watch?v=dBxOYE2j55U,"Jan 17, 2019"
47,"Would You Rather Have A Giant Diamond or $100,000?",103M views,2 years ago,13:25,CC,https://www.youtube.com/watch?v=Vl3swga-Xrk,"Sep 27, 2020"
48,"Last To Take Hand Off Lamborghini, Keeps It",103M views,11 months ago,15:43,CC,https://www.youtube.com/watch?v=qIsgdOVGA04,"Oct 24, 2021"
49,I Survived 24 Hours Straight In Ice,102M views,1 year ago,11:34,CC,https://www.youtube.com/watch?v=SZQhgExjBvQ,"Oct 30, 2020"
50,"$50,000 Game Of Extreme Hide And Seek - Challenge",102M views,2 years ago,15:03,CC,https://www.youtube.com/watch?v=X1jMMFOqxEw,"Nov 29, 2019"
51,"$10,000 Every Day You Survive Prison",100M views,6 months ago,13:59,CC,https://www.youtube.com/watch?v=hD1YtmKXNb4,"Apr 10, 2022"
52,I Spent 24 Hours Straight In Insane Asylum,100M views,3 years ago,15:56,,https://www.youtube.com/watch?v=nuM0Z4a7kMs,"Feb 11, 2019"
53,Surviving 24 Hours Straight In A Desert,100M views,3 years ago,14:04,,https://www.youtube.com/watch?v=Ooke4YZv8Ts,"Mar 17, 2019"
54,I Opened A Free Car Dealership,99M views,3 years ago,16:39,CC,https://www.youtube.com/watch?v=3LLnjRLrvLU,"Aug 30, 2019"
