,Total Comments
0,"610,580"
1,
2,"111,328"
3,"110,293"
4,"89,342"
5,"110,668"
6,"138,308"
7,"127,426"
8,"138,360"
9,"108,581"
10,"154,575"
11,"227,133"
12,"119,613"
13,"157,999"
14,"170,001"
15,"178,047"
16,"202,909"
17,"131,015"
18,"144,815"
19,"137,094"
20,"167,987"
21,"92,860"
22,"95,057"
23,"75,715"
24,"110,530"
25,"79,410"
26,"98,375"
27,"96,442"
28,"118,201"
29,"728,211"
30,"123,215"
31,"175,179"
32,"119,315"
33,"80,433"
34,"183,119"
35,"175,252"
36,"183,025"
37,"176,921"
38,"86,028"
39,"81,758"
40,"126,742"
41,"90,493"
42,"92,197"
43,"66,642"
44,"65,177"
45,"105,387"
46,"279,444"
47,"73,414"
48,"129,471"
49,"190,361"
50,"50,101"
51,"155,206"
52,"136,549"
53,"91,419"
54,"138,105"
55,"51,792"
56,"117,219"
57,"63,659"
58,"103,858"
59,"119,161"
60,"300,624"
61,"74,272"
62,"53,427"
63,"189,089"
64,"64,247"
65,"87,299"
66,"129,085"
67,"91,673"
68,"65,696"
69,"61,973"
70,"73,814"
71,"49,114"
72,"52,521"
73,"71,023"
74,"76,207"
75,"65,724"
76,
77,"102,993"
78,"188,577"
79,"73,830"
80,
81,"92,081"
82,
83,
84,
85,"610,580"
86,"239,471"
87,"111,328"
88,"110,296"
89,"89,342"
90,"110,669"
91,"138,308"
92,"127,426"
93,"138,363"
94,"108,581"
95,"154,577"
96,"227,133"
97,"119,613"
98,"157,999"
99,"170,002"
100,"178,047"
101,"202,909"
102,"131,015"
103,"144,815"
104,"137,094"
105,"167,987"
106,"92,860"
107,"95,057"
108,"75,715"
109,"110,532"
110,"79,410"
111,"98,376"
112,"96,442"
113,"118,202"
114,"728,211"
115,"123,216"
116,"175,180"
117,"119,313"
118,"80,433"
119,"183,120"
120,
121,"183,025"
122,"176,921"
123,"86,028"
124,"81,758"
125,"126,743"
126,"90,493"
127,"92,197"
128,"66,642"
129,"65,177"
130,"105,387"
131,"279,443"
132,"73,414"
133,"129,472"
134,"190,361"
135,"50,101"
136,"155,206"
137,"136,549"
138,"91,419"
139,"138,105"
140,"51,792"
141,"117,221"
142,"63,659"
143,"103,858"
144,"119,161"
145,"300,625"
146,"74,272"
147,
148,"189,089"
149,"64,248"
150,"87,299"
151,"129,085"
152,"91,673"
153,"65,696"
154,"61,973"
155,"73,814"
156,"49,114"
157,"52,521"
158,"71,022"
159,"76,207"
160,"65,723"
161,"67,269"
162,"102,994"
163,"188,577"
164,"73,830"
165,"59,519"
166,"92,081"
167,"96,923"
168,"55,502"
169,"123,099"
170,"71,258"
171,
172,
