,Title,Total Views,Upload Time,Duration,Subtitles,Link
0,"$456,000 Squid Game In Real Life!",293M views,10 months ago,25:42,CC,https://www.youtube.com/watch?v=0e3GPea1Tyg
1,I Spent 50 Hours Buried Alive,197M views,1 year ago,12:40,CC,https://www.youtube.com/watch?v=9bqk6ZUsKyA
2,I Spent 50 Hours In Solitary Confinement,195M views,2 years ago,15:52,CC,https://www.youtube.com/watch?v=r7zJ8srwwjk
3,"Last To Leave Circle Wins $500,000",194M views,1 year ago,19:26,CC,https://www.youtube.com/watch?v=zxYjTTXc-J8
4,"Press This Button To Win $100,000!",192M views,1 year ago,15:30,CC,https://www.youtube.com/watch?v=GLoeAJUcz38
5,Anything You Can Fit In The Circle I’ll Pay For,176M views,2 years ago,20:00,CC,https://www.youtube.com/watch?v=yXWw0_UfSFg
6,I Put 100 Million Orbeez In My Friend's Backyard,171M views,3 years ago,14:45,,https://www.youtube.com/watch?v=3TflpIllQHY
7,"Going Through The Same Drive Thru 1,000 Times",164M views,3 years ago,15:38,CC,https://www.youtube.com/watch?v=QxGVgXf_LNk
8,"Would You Sit In Snakes For $10,000?",162M views,1 year ago,14:09,CC,https://www.youtube.com/watch?v=fMfipiV_17o
9,"I Ate A $70,000 Golden Pizza",160M views,2 years ago,13:10,CC,https://www.youtube.com/watch?v=F4Y3Pkn95GI
10,Would YOU Rather Have A Lamborghini or This House?,156M views,2 years ago,18:22,CC,https://www.youtube.com/watch?v=s1ax8Tx_Jz0
11,"Last To Leave $800,000 Island Keeps It",153M views,2 years ago,22:17,CC,https://www.youtube.com/watch?v=NkE0AMGzpJY
12,"Would You Rather Have $100,000 OR This Mystery Key?",146M views,2 years ago,18:21,CC,https://www.youtube.com/watch?v=_qAJMXfL6o0
13,If You Click This Video I'll Give My Friend .001$,142M views,2 years ago,17:21,CC,https://www.youtube.com/watch?v=YSoJPA8-oHc
14,"I Bought The World's Largest Mystery Box! ($500,000)",141M views,1 year ago,11:49,CC,https://www.youtube.com/watch?v=ayXxwJJId_c
15,"I Bought The World's Largest Firework ($600,000)",139M views,2 years ago,12:16,CC,https://www.youtube.com/watch?v=erQ_9yEz0ls
16,I Adopted EVERY Dog In A Dog Shelter,139M views,2 years ago,16:04,CC,https://www.youtube.com/watch?v=YQDDm9HLkV4
17,I Ate The World’s Largest Slice Of Pizza,138M views,2 years ago,8:03,CC,https://www.youtube.com/watch?v=Rj_vssRaZlQ
18,World’s Most Dangerous Escape Room!,137M views,8 months ago,8:01,CC,https://www.youtube.com/watch?v=3jS_yEK8qVI
19,I Went Back To 1st Grade For A Day,136M views,3 years ago,17:46,,https://www.youtube.com/watch?v=A-vX1AGBGsc
20,"I Ate $100,000 Golden Ice Cream",136M views,1 year ago,13:17,CC,https://www.youtube.com/watch?v=C680oxL__ck
21,Surviving 24 Hours Straight In The Bermuda Triangle,129M views,2 years ago,11:41,CC,https://www.youtube.com/watch?v=D9lVNzyhYnc
22,"Steal This $100,000 Diamond, You Keep It",126M views,1 year ago,14:03,CC,https://www.youtube.com/watch?v=Dc2ZRmuH5OM
23,Surviving 24 Hours On A Deserted Island,122M views,3 years ago,13:52,CC,https://www.youtube.com/watch?v=lBYC4_Lccjw
24,Spending 24 Hours On Top Of A Mountain,122M views,3 years ago,15:24,,https://www.youtube.com/watch?v=2eFSU7TFOnk
25,I Spent 24 Hours In A Doomsday Bunker,122M views,2 years ago,11:59,CC,https://www.youtube.com/watch?v=HBMmK1c44sE
26,I Survived 50 Hours In A Maximum Security Prison,121M views,1 year ago,12:38,CC,https://www.youtube.com/watch?v=nM89Wl03Q4g
27,I Gave My Credit Card To Random People,120M views,2 years ago,16:48,CC,https://www.youtube.com/watch?v=IYVjOfoU3uI
28,I Filled My Brother’s House With Slime & Bought Him A New One,120M views,2 years ago,10:25,CC,https://www.youtube.com/watch?v=vp5sSqyZ5Go
29,I Opened A Restaurant That Pays You To Eat At It,119M views,1 year ago,10:47,CC,https://www.youtube.com/watch?v=dg2Ag3e8W-Q
30,"Spending $1,000,000 In 24 Hours",119M views,2 years ago,15:56,CC,https://www.youtube.com/watch?v=bs0SWXbty18
