Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Sofia, Sofia City Province, Bulgaria",13,3,17,47,599,716,Datasets Expert
NA,18,16,66,583,199,717,Notebooks Grandmaster
"Putrajaya, Putrajaya, Malaysia",2,8,5,285,191,718,Datasets Expert
"Bengaluru, Karnataka, India",10,13,18,78,125,720,Datasets Expert
"Gurugram, Haryana, India",17,27,29,458,112,737,Notebooks Master
"Ahmedabad, Gujarat, India",NA,3,15,209,592,721,Datasets Expert
"Karachi, Sindh, Pakistan",2,4,9,115,718,722,Datasets Expert
"Edmonton, Alberta, Canada",1,3,3,189,369,723,Datasets Expert
"Antalya, Antalya, Turkey",NA,5,3,17,449,724,Datasets Expert
"Majitar, Sikkim, India",5,5,50,714,251,633,Notebooks Master
NA,7,3,2,22,592,725,Datasets Expert
NA,NA,5,NA,NA,189,726,Datasets Expert
"Durgapur, West Bengal, India",1,12,24,33,276,747,Datasets Expert
"San Mateo, California, United States",NA,5,4,1,482,727,Datasets Expert
NA,8,4,13,209,400,728,Datasets Expert
NA,3,5,8,204,573,729,Datasets Expert
NA,NA,3,7,161,640,730,Datasets Expert
"Philadelphia, Pennsylvania, United States",3,10,186,155,22,751,Datasets Expert
"Delhi, Delhi, India",8,7,39,230,551,732,Datasets Expert
"Singapore, Singapore",114,195,60,481,80,733,Notebooks Grandmaster
"Hamburg, Hamburg, Germany",9,4,NA,3,502,734,Datasets Expert
NA,NA,10,19,147,573,735,Datasets Expert
"Rajkot, Gujarat, India",3,6,13,27,113,768,Datasets Expert
NA,NA,4,4,4,651,736,Datasets Expert
"Amsterdam, North Holland, Netherlands",2,5,3,3,496,770,Datasets Expert
"Theni, Tamil Nadu, India",26,5,45,149,565,738,Datasets Expert
"Guwahati, Assam, India",8,5,12,35,248,739,Datasets Expert
"Bengaluru, Karnataka, India",NA,5,5,765,143,740,Datasets Expert
"Kochi, Kerala, India",NA,3,2,120,219,741,Datasets Expert
"Florence, Tuscany, Italy",7,3,22,136,739,742,Notebooks Master
"Mumbai, Maharashtra, India",1,9,14,8,492,743,Datasets Expert
"Bengaluru, Karnataka, India",11,36,33,109,169,744,Notebooks Master
"Agadir, Souss-Massa, Morocco",8,24,10,119,520,745,Datasets Expert
"Damanhour, El Beheira Governorate, Egypt",3,4,16,88,383,746,Datasets Expert
"Ibadan, Oyo, Nigeria",1,5,7,5,715,786,Datasets Expert
NA,NA,6,NA,NA,510,748,Datasets Expert
"Tianjin, Tianjin, China",6,6,17,36,NA,693,Datasets Expert
"Verona, Veneto, Italy",226,6,87,901,372,749,Discussion Grandmaster
"Los Angeles, California, United States",110,15,30,166,160,750,Competitions Master
"Yogyakarta, Special Region of Yogyakarta, Indonesia",NA,7,6,14,288,752,Datasets Expert
"London, England, United Kingdom",NA,4,22,210,548,753,Datasets Expert
"Singapore, Singapore",43,22,44,155,220,754,Datasets Expert
"Chennai, Tamil Nadu, India",NA,3,2,10,212,755,Datasets Expert
NA,NA,3,4,17,588,798,Datasets Expert
"Neyveli, Tamil Nadu, India",4,8,11,90,256,756,Datasets Expert
"Tel Aviv-Yafo, Tel Aviv District, Israel",NA,5,7,4,756,758,Datasets Expert
"New York, New York, United States",17,7,23,530,442,759,Notebooks Master
"Seoul, Seoul, South Korea",6,9,7,13,55,761,Datasets Expert
"Gurugram, Haryana, India",14,14,16,66,218,762,Datasets Expert
"California City, California, United States",42,33,30,695,148,763,Notebooks Grandmaster
"London, England, United Kingdom",20,9,17,112,474,764,Notebooks Master
"Bengaluru, Karnataka, India",1,5,7,91,206,765,Datasets Expert
"Hyderabad, Telangana, India",2,30,64,608,313,766,Notebooks Master
NA,12,4,48,502,60,767,Notebooks Master
"Antalya, Antalya, Turkey",26,9,17,40,444,769,Datasets Expert
"İstanbul, İstanbul, Turkey",3,26,11,306,17,772,Datasets Expert
"Calgary, Alberta, Canada",12,8,10,284,146,773,Competitions Expert
"Kharagpur, West Bengal, India",14,11,40,217,154,774,Datasets Expert
,NA,9,NA,NA,246,775,Datasets Expert
"Portland, Oregon, United States",NA,6,5,17,383,776,Datasets Expert
NA,NA,3,8,36,443,777,Datasets Expert
"Cheruvathur, Kerala, India",NA,6,7,23,200,778,Datasets Expert
"Guwahati, Assam, India",1,4,13,103,723,779,Datasets Expert
"Shanghai, Shanghai, China",1,3,1,2,738,780,Datasets Expert
"Thane, Maharashtra, India",1,5,7,8,367,782,Datasets Expert
,1,3,6,12,442,783,Datasets Expert
,NA,5,19,4,673,784,Datasets Expert
"Sydney, New South Wales, Australia",NA,5,2,2,476,785,Datasets Expert
"Ahmedabad, Gujarat, India",NA,4,3,5,456,787,Datasets Expert
"Cincinnati, Ohio, United States",NA,5,NA,3,562,788,Datasets Expert
"Hyderabad, Telangana, India",2,7,18,"1,293",582,789,Datasets Expert
"Sanford, North Carolina, United States",NA,5,7,2,423,790,Datasets Expert
"Clovis, California, United States",6,5,7,29,146,791,Datasets Expert
NA,10,8,27,693,414,792,Notebooks Master
"York, England, United Kingdom",3,12,59,85,41,793,Datasets Expert
"San Jose, California, United States",4,3,6,253,528,794,Datasets Expert
"Austin, Texas, United States",NA,9,NA,23,28,795,Datasets Expert
"Minneapolis, Minnesota, United States",NA,5,NA,NA,488,796,Datasets Expert
"Irving, Texas, United States",51,12,26,"1,129",303,797,Discussion Grandmaster
"Guwahati, Assam, India",20,8,106,390,494,799,Datasets Expert
"Islamabad, Islamabad Capital Territory, Pakistan",3,6,31,55,331,800,Datasets Expert
"Tokyo, Tokyo, Japan",41,7,34,86,NA,757,Competitions Expert
"Tokyo, Tokyo, Japan",151,20,11,63,NA,760,Competitions Expert
"İstanbul, İstanbul, Turkey",13,8,33,90,255,801,Notebooks Master
"Noida, Uttar Pradesh, India",1,3,18,235,208,802,Datasets Expert
"Bengaluru, Karnataka, India",10,5,12,364,216,803,Datasets Expert
"Mumbai, Maharashtra, India",1,4,6,87,206,771,Datasets Expert
"Frankfurt, Hesse, Germany",11,5,46,437,129,804,Notebooks Master
"Pune, Maharashtra, India",26,140,61,246,327,805,Competitions Expert
"London, Ontario, Canada",1,5,5,32,252,806,Datasets Expert
"Kolkata, West Bengal, India",2,7,25,49,240,807,Datasets Expert
Jammu,10,4,13,118,557,808,Datasets Expert
"Bengaluru, Karnataka, India",NA,11,16,181,154,809,Datasets Expert
"Beijing, Beijing, China",26,12,11,82,202,810,Competitions Master
