Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined
Larxel,1,grandmaster,https://www.kaggle.com/andrewmvd,11,25,42,"1,078",6 years ago
Suraj Jha,2,grandmaster,https://www.kaggle.com/surajjha101,12,8,0,907,9 months ago
Ruchi Bhatia,3,grandmaster,https://www.kaggle.com/ruchi798,12,15,17,810,3 years ago
Shivam Bansal,4,grandmaster,https://www.kaggle.com/shivamb,6,7,32,789,5 years ago
Ram Jas,5,master,https://www.kaggle.com/ramjasmaurya,4,12,42,744,2 years ago
Sourav Banerjee,6,grandmaster,https://www.kaggle.com/iamsouravbanerjee,8,13,0,731,2 years ago
Gabriel Preda,7,grandmaster,https://www.kaggle.com/gpreda,7,10,50,729,6 years ago
fedesoriano,8,grandmaster,https://www.kaggle.com/fedesoriano,5,8,17,702,2 years ago
Marília Prata,9,master,https://www.kaggle.com/mpwolke,2,9,107,682,4 years ago
Timo Bozsolik,10,master,https://www.kaggle.com/timoboz,4,3,7,624,6 years ago
Anandhu H,11,grandmaster,https://www.kaggle.com/anandhuh,6,19,6,595,2 years ago
Deep Contractor,12,grandmaster,https://www.kaggle.com/deepcontractor,5,9,16,529,3 years ago
SRK,13,grandmaster,https://www.kaggle.com/sudalairajkumar,10,4,3,525,10 years ago
The Devastator,14,expert,https://www.kaggle.com/thedevastator,0,1,43,501,6 months ago
Saurabh Shahane,15,grandmaster,https://www.kaggle.com/saurabhshahane,5,5,55,498,4 years ago
Chris Crawford,16,grandmaster,https://www.kaggle.com/crawford,11,12,53,496,7 years ago
Ms. Nancy Al Aswad,17,grandmaster,https://www.kaggle.com/nancyalaswad90,7,5,0,488,4 years ago
Rob Mulla,18,master,https://www.kaggle.com/robikscube,2,5,27,477,6 years ago
raddar,19,master,https://www.kaggle.com/raddar,4,4,14,468,7 years ago
Sanskar Hasija,20,grandmaster,https://www.kaggle.com/odins0n,7,5,6,451,2 years ago
Chris Deotte,21,grandmaster,https://www.kaggle.com/cdeotte,8,11,29,439,5 years ago
devrishi,22,expert,https://www.kaggle.com/devvret,1,1,2,434,4 years ago
Zeeshan-ul-hassan Usmani,23,grandmaster,https://www.kaggle.com/zusmani,7,8,23,430,7 years ago
Batucan Senkal,24,master,https://www.kaggle.com/psycon,3,5,13,423,3 years ago
Abhishek Thakur,25,grandmaster,https://www.kaggle.com/abhishek,13,7,26,404,12 years ago
Tensor Girl,26,grandmaster,https://www.kaggle.com/usharengaraju,9,16,10,398,7 years ago
Mathurin Aché,27,master,https://www.kaggle.com/mathurinache,2,3,51,393,11 years ago
Möbius,28,master,https://www.kaggle.com/arashnic,2,6,33,389,6 years ago
Bala Baskar,29,grandmaster,https://www.kaggle.com/balabaskar,5,6,4,378,3 years ago
Pranav941,30,master,https://www.kaggle.com/pranav941,5,1,4,368,2 years ago
Bojan Tunguz,31,grandmaster,https://www.kaggle.com/tunguz,7,10,39,352,7 years ago
xhlulu,32,grandmaster,https://www.kaggle.com/xhlulu,5,5,32,348,4 years ago
Anas Mahmood,33,expert,https://www.kaggle.com/anasmahmood000,0,11,7,348,a year ago
Matt OP,34,expert,https://www.kaggle.com/mattop,0,8,16,331,6 months ago
Vopani,35,grandmaster,https://www.kaggle.com/rohanrao,8,2,7,315,9 years ago
Rachael Tatman,36,grandmaster,https://www.kaggle.com/rtatman,7,11,42,315,5 years ago
Arslan Ali,37,master,https://www.kaggle.com/arslanali4343,5,2,5,313,3 years ago
Aman Chauhan,38,expert,https://www.kaggle.com/whenamancodes,0,2,29,311,a year ago
hrterhrter,39,expert,https://www.kaggle.com/programmerrdai,0,0,37,305,6 months ago
Abigail Larion,40,grandmaster,https://www.kaggle.com/abigaillarion,5,11,43,300,6 years ago
Gaurav Dutta,41,expert,https://www.kaggle.com/gauravduttakiit,0,2,21,298,3 years ago
Konrad Banachewicz,42,expert,https://www.kaggle.com/konradb,0,5,37,295,12 years ago
Rashik Rahman,43,master,https://www.kaggle.com/rashikrahmanpritom,1,6,5,289,3 years ago
Sergei Logvinov,44,master,https://www.kaggle.com/sergylog,3,2,5,273,5 years ago
Meet Nagadia,45,expert,https://www.kaggle.com/meetnagadia,0,5,25,272,2 years ago
koustubhk,46,expert,https://www.kaggle.com/kkhandekar,0,0,50,271,3 years ago
mugen88,47,grandmaster,https://www.kaggle.com/mugentk,5,5,0,259,3 years ago
Michael Bryant,48,expert,https://www.kaggle.com/michaelbryantds,0,4,15,257,a year ago
Prasert Kanawattanachai,49,expert,https://www.kaggle.com/prasertk,0,1,43,255,5 years ago
Mitchell J,50,expert,https://www.kaggle.com/datasnaek,3,1,1,251,5 years ago
Awsaf,51,master,https://www.kaggle.com/awsaf49,1,6,17,250,3 years ago
