Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"São Paulo, State of São Paulo, Brazil",19.0,101,20,185,,1,Datasets Grandmaster
,,20,3,"1,758",,2,Datasets Grandmaster
"Pittsburgh, Pennsylvania, United States",20.0,44,25,531,,3,Datasets Grandmaster
"Singapore, Singapore",14.0,54,80,977,1.0,4,Datasets Grandmaster
"Delhi, Delhi, India",9.0,64,28,933,,5,Datasets Master
"Kolkata, West Bengal, India",,21,11,"1,080",,6,Datasets Grandmaster
"Bucharest, Bucharest, Romania",106.0,114,254,"1,418",2.0,7,Datasets Grandmaster
"Madrid, Community of Madrid, Spain",4.0,31,14,544,4.0,8,Datasets Grandmaster
"Rio de Janeiro, State of Rio de Janeiro, Brazil",21.0,228,"1,863","18,601",5.0,9,Discussion Grandmaster
"Sydney, New South Wales, Australia",,17,25,136,5.0,10,Datasets Master
"Varkala, Kerala, India",7.0,31,20,948,6.0,11,Datasets Grandmaster
"Jaipur, Rajasthan, India",3.0,30,7,306,10.0,13,Datasets Grandmaster
"Chennai, Tamil Nadu, India",113.0,17,82,802,1.0,12,Competitions Grandmaster
,19.0,184,35,"3,893",,14,Notebooks Grandmaster
"Mumbai, Maharashtra, India",17.0,215,17,576,11.0,15,Datasets Grandmaster
"Austin, Texas, United States",1.0,118,47,475,1.0,17,Datasets Grandmaster
"Amman, Amman Governorate, Jordan",1.0,12,33,"2,826",,16,Datasets Grandmaster
"Washington, District of Columbia, United States",97.0,61,159,"1,246",16.0,18,Competitions Grandmaster
"Vilnius, Vilnius County, Lithuania",68.0,26,49,"1,044",13.0,19,Competitions Grandmaster
"Pune, Maharashtra, India",38.0,20,40,"1,130",12.0,20,Datasets Grandmaster
"San Diego, California, United States",54.0,109,99,"8,090",1.0,21,Competitions Grandmaster
"San Francisco, California, United States",2.0,6,4,68,2.0,22,Datasets Expert
"Princeton, New Jersey, United States",11.0,38,37,421,10.0,23,Datasets Grandmaster
"İstanbul, İstanbul, Turkey",6.0,21,19,17,23.0,24,Datasets Master
"Stavanger, Rogaland, Norway",229.0,106,142,"2,308",2.0,25,Competitions Grandmaster
"Bengaluru, Karnataka, India",66.0,35,21,"1,503",2.0,26,Datasets Grandmaster
"Orvault, Pays de la Loire, France",377.0,"1,235",142,102,9.0,27,Competitions Master
"Melbourne, Victoria, Australia",55.0,62,35,170,16.0,28,Competitions Master
"Chennai, Tamil Nadu, India",10.0,15,8,630,28.0,29,Datasets Grandmaster
"Pune, Maharashtra, India",,10,7,603,,30,Datasets Master
"Greencastle, Indiana, United States",242.0,134,595,"1,442",5.0,31,Competitions Grandmaster
,37.0,104,120,822,15.0,32,Datasets Grandmaster
"Karachi, Sindh, Pakistan",2.0,19,8,80,30.0,33,Datasets Expert
"Philadelphia, Pennsylvania, United States",5.0,29,64,"1,386",33.0,34,Notebooks Master
"Bengaluru, Karnataka, India",62.0,18,77,670,6.0,36,Competitions Grandmaster
"Seattle, Washington, United States",,107,272,"2,191",4.0,35,Datasets Grandmaster
"Lahore, Punjab, Pakistan",,12,10,134,31.0,37,Datasets Master
"Delhi, Delhi, India",1.0,82,2,1,,38,Datasets Expert
"Sydney, New South Wales, Australia",2.0,87,19,924,30.0,39,Datasets Expert
"Cleveland, Ohio, United States",,84,11,34,4.0,40,Datasets Grandmaster
"Hyderabad, Telangana, India",118.0,397,"2,457",447,38.0,41,Datasets Expert
"Haarlem, North Holland, Netherlands",118.0,84,88,"1,317",40.0,42,Notebooks Grandmaster
"Dhaka, Dhaka Division, Bangladesh",2.0,12,18,221,16.0,43,Datasets Master
"Moscow, Russia",4.0,11,5,10,38.0,44,Datasets Master
"Ahmedabad, Gujarat, India",14.0,33,76,369,35.0,45,Datasets Expert
"Wellington, Wellington, New Zealand",2.0,84,133,124,31.0,46,Datasets Expert
"Osaka, Osaka, Japan",33.0,10,39,824,26.0,48,Datasets Grandmaster
,11.0,41,12,172,,47,Datasets Expert
"Bangkok, Bangkok, Thailand",,62,10,2,32.0,49,Datasets Expert
United Kingdom,3.0,6,,46,6.0,50,Datasets Expert
"Dhaka, Dhaka Division, Bangladesh",28.0,149,57,706,35.0,51,Notebooks Grandmaster
"Ahmedabad, Gujarat, India",1.0,14,13,245,35.0,52,Datasets Master
"Bucharest, Bucharest, Romania",10.0,33,47,338,33.0,53,Notebooks Grandmaster
"Sohawa, Punjab, Pakistan",6.0,15,30,"2,134",47.0,54,Notebooks Master
"Portland, Oregon, United States",18.0,87,461,124,3.0,55,Datasets Grandmaster
,10.0,31,33,45,40.0,56,Datasets Expert
"Bahawalpur, Punjab, Pakistan",,7,21,169,51.0,57,Notebooks Master
"Bengaluru, Karnataka, India",,38,56,84,31.0,58,Datasets Expert
"Manila, Metro Manila, Philippines",,21,35,211,57.0,59,Datasets Expert
"İstanbul, İstanbul, Turkey",,96,222,238,28.0,60,Datasets Expert
"Burichang, Chittagong Division, Bangladesh",4.0,13,17,209,57.0,61,Notebooks Grandmaster
"Scottsdale, Arizona, United States",2.0,20,586,169,56.0,62,Datasets Expert
"Greater Noida, Uttar Pradesh, India",,5,11,427,26.0,63,Datasets Master
"Baltimore, Maryland, United States",1.0,29,6,2,5.0,65,Datasets Grandmaster
"Fort Worth, Texas, United States",130.0,30,48,998,38.0,66,Notebooks Grandmaster
"Golden, Colorado, United States",19.0,19,190,613,21.0,67,Notebooks Grandmaster
"Iloilo City, Western Visayas, Philippines",1.0,13,19,"1,018",57.0,68,Datasets Master
"Hyderabad, Telangana, India",20.0,27,68,865,42.0,69,Notebooks Master
"Abu Dhabi, Abu Dhabi, United Arab Emirates",2.0,18,20,452,62.0,64,Notebooks Master
"Windsor, Ontario, Canada",1.0,86,56,800,24.0,70,Datasets Expert
"Mumbai, Maharashtra, India",1.0,45,45,311,,71,Notebooks Master
"Cork, County Cork, Ireland",16.0,30,25,244,54.0,72,Datasets Expert
"Boston, Massachusetts, United States",55.0,12,23,"2,258",46.0,73,Notebooks Grandmaster
"Kayseri, Kayseri, Turkey",,9,,,25.0,74,Datasets Master
"Lviv, Lviv Oblast, Ukraine",3.0,12,16,80,51.0,76,Datasets Expert
"Pune, Maharashtra, India",,12,18,"1,121",70.0,77,Notebooks Grandmaster
"Pisa, Tuscany, Italy",,17,9,178,72.0,78,Datasets Expert
"Tehran, Tehran Province, Iran",,14,16,228,,75,Notebooks Master
"Dallas, Texas, United States",9.0,18,20,250,25.0,79,Datasets Master
"Mashhad, Razavi Khorasan Province, Iran",,7,6,255,80.0,81,Datasets Expert
,19.0,21,66,675,79.0,80,Notebooks Master
"Mumbai, Maharashtra, India",,6,3,65,45.0,83,Datasets Master
"Dhaka, Dhaka Division, Bangladesh",2.0,4,14,837,83.0,84,Notebooks Master
"Dubai, Dubai, United Arab Emirates",3.0,13,14,"1,205",,82,Notebooks Master
"New Delhi, Delhi, India",2.0,8,10,246,70.0,86,Datasets Expert
"London, Ontario, Canada",38.0,150,126,"1,087",70.0,85,Notebooks Grandmaster
"Amreli, Gujarat, India",,5,16,"1,274",82.0,88,Datasets Master
"London, Ontario, Canada",28.0,16,29,300,22.0,87,Datasets Master
"Konya, Konya, Turkey",,12,,1,64.0,89,Datasets Expert
"London, England, United Kingdom",2.0,4,14,187,18.0,90,Datasets Expert
"Charlotte, North Carolina, United States",22.0,26,77,363,54.0,91,Datasets Expert
,,10,18,"2,280",91.0,93,Notebooks Grandmaster
"Gurugram, Haryana, India",,3,7,40,7.0,92,Datasets Expert
,34.0,14,41,450,73.0,94,Notebooks Grandmaster
,2.0,12,32,"1,588",78.0,96,Notebooks Grandmaster
"Navi Mumbai, Maharashtra, India",3.0,8,19,272,81.0,97,Notebooks Master
"Bhopal, Madhya Pradesh, India",1.0,42,65,54,,95,Datasets Expert
,4.0,37,27,732,55.0,98,Notebooks Master
"Bengaluru, Karnataka, India",,190,1,22,16.0,100,Datasets Master
"Florida City, Florida, United States",7.0,15,20,306,32.0,101,Datasets Master
"Greenville, South Carolina, United States",1.0,13,12,89,92.0,102,Datasets Expert
"Gdańsk, Pomeranian Voivodeship, Poland",26.0,19,35,"1,450",65.0,99,Notebooks Grandmaster
"Hyderabad, Telangana, India",,7,,1,31.0,103,Datasets Master
"Katihar, Bihar, India",,16,22,85,72.0,104,Datasets Expert
"Dubai, Dubai, United Arab Emirates",15.0,25,9,4,78.0,105,Datasets Expert
"San Francisco, California, United States",8.0,40,34,551,62.0,106,Notebooks Master
"Tokyo, Tokyo, Japan",67.0,20,55,400,54.0,108,Competitions Grandmaster
"Moscow, Russia",,6,24,"2,281",108.0,110,Notebooks Grandmaster
"Bengaluru, Karnataka, India",,17,10,369,71.0,107,Datasets Expert
"Alexandria, Virginia, United States",9.0,16,19,182,74.0,112,Datasets Master
"Rotterdam, South Holland, Netherlands",,13,38,570,29.0,109,Datasets Master
"Islamabad, Islamabad Capital Territory, Pakistan",,22,3,47,109.0,111,Datasets Expert
"İstanbul, İstanbul, Turkey",8.0,22,18,311,14.0,113,Datasets Master
"Waterloo, Ontario, Canada",7.0,8,11,"1,046",77.0,116,Notebooks Master
"Rio de Janeiro, State of Rio de Janeiro, Brazil",,18,,4,82.0,117,Datasets Expert
"Salt Lake City, Utah, United States",10.0,16,28,400,107.0,119,Datasets Expert
"Hyderabad, Telangana, India",1.0,5,10,162,,114,Datasets Master
"Hangu, Khyber Pakhtunkhwa, Pakistan",,7,12,156,,115,Datasets Expert
"Chennai, Tamil Nadu, India",9.0,23,30,298,66.0,120,Datasets Master
"Ranchi, Jharkhand, India",3.0,10,3,995,41.0,121,Datasets Master
"Lahore, Punjab, Pakistan",17.0,17,75,558,95.0,118,Notebooks Master
"San Francisco, California, United States",3.0,5,3,6,18.0,123,Datasets Expert
