Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined
Chris Deotte,1,grandmaster,https://www.kaggle.com/cdeotte,381,501,4317,"8,897",5 years ago
Marília Prata,2,grandmaster,https://www.kaggle.com/mpwolke,72,106,9452,"5,300",4 years ago
,3,grandmaster,https://www.kaggle.com/hengck23,412,478,2688,"5,283",9 years ago
CPMP,4,grandmaster,https://www.kaggle.com/cpmpml,447,577,4494,"4,444",10 years ago
The Devastator,5,grandmaster,https://www.kaggle.com/thedevastator,62,44,2005,"3,438",6 months ago
Ravi Ramakrishnan,6,expert,https://www.kaggle.com/ravi20076,19,25,2661,"3,030",a year ago
AmbrosM,7,grandmaster,https://www.kaggle.com/ambrosm,63,56,417,"2,542",a year ago
Carl McBride Ellis,8,grandmaster,https://www.kaggle.com/carlmcbrideellis,102,116,1353,"2,229",3 years ago
Darien Schettler,9,grandmaster,https://www.kaggle.com/dschettler8845,71,51,500,"1,960",5 years ago
Psi,10,grandmaster,https://www.kaggle.com/philippsinger,144,211,1087,"1,949",11 years ago
Vadim Irtlach,11,grandmaster,https://www.kaggle.com/vad13irt,71,36,709,"1,802",2 years ago
Remek Kinas,12,grandmaster,https://www.kaggle.com/remekkinas,66,29,866,"1,768",3 years ago
Tensor Girl,13,grandmaster,https://www.kaggle.com/usharengaraju,103,32,878,"1,755",7 years ago
raddar,14,grandmaster,https://www.kaggle.com/raddar,106,125,510,"1,626",7 years ago
Ms. Nancy Al Aswad,15,master,https://www.kaggle.com/nancyalaswad90,40,11,1084,"1,583",4 years ago
Abhishek Thakur,16,grandmaster,https://www.kaggle.com/abhishek,150,149,905,"1,433",12 years ago
Muhammed Tausif,17,master,https://www.kaggle.com/muhammedtausif,19,33,1064,"1,294",3 years ago
Gunes Evitan,18,grandmaster,https://www.kaggle.com/gunesevitan,99,91,659,"1,279",4 years ago
mugen88,19,grandmaster,https://www.kaggle.com/mugentk,79,49,600,"1,213",3 years ago
Mario Caesar,20,expert,https://www.kaggle.com/caesarmario,3,2,1621,"1,170",3 years ago
Suraj Jha,21,expert,https://www.kaggle.com/surajjha101,22,14,1165,"1,160",10 months ago
Luca Massaron,22,grandmaster,https://www.kaggle.com/lucamassaron,65,37,476,"1,145",11 years ago
xhlulu,23,grandmaster,https://www.kaggle.com/xhlulu,74,61,376,"1,131",4 years ago
Theo Viel,24,grandmaster,https://www.kaggle.com/theoviel,77,62,461,"1,112",4 years ago
Lucas Morin,25,master,https://www.kaggle.com/lucasmorin,43,55,520,"1,111",3 years ago
Ruchi Bhatia,26,grandmaster,https://www.kaggle.com/ruchi798,50,39,420,"1,094",3 years ago
Andrada Olteanu,27,master,https://www.kaggle.com/andradaolteanu,40,26,183,"1,065",3 years ago
Y.Nakama,28,master,https://www.kaggle.com/yasufuminakama,41,26,216,"1,051",5 years ago
Afroz,29,expert,https://www.kaggle.com/pythonafroz,1,4,1147,"1,050",a year ago
Sanyam Bhutani,30,grandmaster,https://www.kaggle.com/init27,61,54,474,"1,036",5 years ago
Kirderf,31,grandmaster,https://www.kaggle.com/kirderf,55,70,486,"1,035",3 years ago
Charlie Craine,32,grandmaster,https://www.kaggle.com/crained,56,39,435,"1,034",8 years ago
Georgy Zubkov,33,expert,https://www.kaggle.com/georgyzubkov,2,0,1204,"1,032",3 years ago
Michal Bogacz,34,master,https://www.kaggle.com/michau96,40,33,718,"1,005",4 years ago
KritiDoneria,35,master,https://www.kaggle.com/kritidoneria,42,41,694,979,5 years ago
des.,36,master,https://www.kaggle.com/desalegngeb,26,38,828,966,2 years ago
Ravi Shah,37,expert,https://www.kaggle.com/ravishah1,35,10,81,960,2 years ago
Awsaf,38,master,https://www.kaggle.com/awsaf49,36,24,307,954,3 years ago
Dieter,39,grandmaster,https://www.kaggle.com/christofhenkel,122,128,514,952,5 years ago
Tilii,40,grandmaster,https://www.kaggle.com/tilii7,97,148,951,951,7 years ago
Ahmet Erdem,41,grandmaster,https://www.kaggle.com/aerdem4,99,116,444,942,7 years ago
Yirun Zhang,42,grandmaster,https://www.kaggle.com/gogo827jz,68,81,628,938,4 years ago
Qishen Ha,43,master,https://www.kaggle.com/haqishen,55,36,260,933,7 years ago
YuyaYamamoto,44,expert,https://www.kaggle.com/nejumi,62,28,93,928,7 years ago
Devlikamov Vlad,45,expert,https://www.kaggle.com/lordozvlad,8,8,1357,922,2 years ago
Nicholas Broad,46,master,https://www.kaggle.com/nbroad,41,39,299,909,3 years ago
Konstantin Yakovlev,47,grandmaster,https://www.kaggle.com/kyakovlev,65,80,436,907,4 years ago
Mustanger,48,expert,https://www.kaggle.com/eisgandar,3,3,964,893,6 months ago
Rob Mulla,49,grandmaster,https://www.kaggle.com/robikscube,83,65,678,883,6 years ago
Yassir Acharki,50,expert,https://www.kaggle.com/yacharki,7,10,846,883,8 months ago
SRK,51,grandmaster,https://www.kaggle.com/sudalairajkumar,61,46,418,871,10 years ago
Giba,52,grandmaster,https://www.kaggle.com/titericz,108,119,520,868,10 years ago
Mian Faisal,53,expert,https://www.kaggle.com/faisaljanjua0555,3,6,733,856,3 months ago
Heads or Tails,54,grandmaster,https://www.kaggle.com/headsortails,113,77,675,846,6 years ago
Varun Sai Kanuri,55,expert,https://www.kaggle.com/varunsaikanuri,2,1,823,839,10 months ago
Samuel Cortinhas,56,expert,https://www.kaggle.com/samuelcortinhas,24,21,400,838,a year ago
RDizzl3,57,grandmaster,https://www.kaggle.com/rdizzl3,58,54,412,836,8 years ago
Shubham Trivedi,58,expert,https://www.kaggle.com/shubhamptrivedi,31,2,458,827,a year ago
Matt OP,59,expert,https://www.kaggle.com/mattop,4,5,844,810,6 months ago
Karnika Kapoor,60,expert,https://www.kaggle.com/karnikakapoor,7,6,1691,800,3 years ago
Sourav Banerjee,61,expert,https://www.kaggle.com/iamsouravbanerjee,21,5,715,789,2 years ago
Darek Kłeczek,62,master,https://www.kaggle.com/thedrcat,38,25,219,773,5 years ago
Gilles Vandewiele,63,master,https://www.kaggle.com/group16,45,48,415,771,7 years ago
Kamal Das,64,grandmaster,https://www.kaggle.com/kmldas,55,44,415,771,4 years ago
CroDoc,65,master,https://www.kaggle.com/crodoc,35,16,168,767,2 years ago
ootake,66,expert,https://www.kaggle.com/ootake,41,53,97,756,a year ago
yone-moto,67,master,https://www.kaggle.com/tyonemoto,40,64,178,753,2 years ago
Rohan Ambad,68,expert,https://www.kaggle.com/rohanambad,3,0,707,741,5 months ago
OH SEOK KIM,69,expert,https://www.kaggle.com/ohseokkim,2,3,1294,736,3 years ago
Sanskar Hasija,70,expert,https://www.kaggle.com/odins0n,12,14,585,732,2 years ago
PAVAN KUMAR D,71,master,https://www.kaggle.com/mragpavank,43,26,569,728,4 years ago
Gabriel Preda,72,grandmaster,https://www.kaggle.com/gpreda,62,69,574,725,6 years ago
Fares Elmenshawii,73,expert,https://www.kaggle.com/fareselmenshawii,1,1,707,725,8 months ago
Sirius,74,master,https://www.kaggle.com/trushk,33,28,266,722,6 years ago
Slawek Biel,75,master,https://www.kaggle.com/slawekbiel,28,23,197,718,4 years ago
Muhammad Ahmed,76,expert,https://www.kaggle.com/muhammadahmed68,2,1,970,717,2 years ago
Allohvk,77,master,https://www.kaggle.com/allohvk,26,31,542,715,3 years ago
kkiller,78,master,https://www.kaggle.com/kneroma,51,26,213,712,5 years ago
