Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"San Diego, California, United States",53,103,93,"7,910",NA,1,Competitions Grandmaster
"Rio de Janeiro, State of Rio de Janeiro, Brazil",21,227,"1,820","18,274",NA,2,Discussion Grandmaster
"Stavanger, Rogaland, Norway",229,106,137,"2,305",1,3,Competitions Grandmaster
NA,14,2,44,634,NA,4,Notebooks Grandmaster
"Tokyo, Tokyo, Japan",65,20,55,400,4,5,Competitions Grandmaster
"Brisbane, Queensland, Australia",19,7,28,320,NA,6,Competitions Grandmaster
"Dhaka, Dhaka Division, Bangladesh",26,149,57,706,5,7,Notebooks Grandmaster
"Bucharest, Bucharest, Romania",10,33,46,331,5,8,Notebooks Grandmaster
"Golden, Colorado, United States",19,19,190,613,2,10,Notebooks Grandmaster
"London, Ontario, Canada",36,146,125,"1,054",NA,9,Notebooks Grandmaster
"Washington, District of Columbia, United States",97,60,154,"1,240",5,11,Competitions Grandmaster
"Pune, Maharashtra, India",37,22,40,"1,122",10,12,Datasets Grandmaster
"Istanbul, Istanbul, Turkey",NA,NA,33,853,4,13,Notebooks Grandmaster
"Buenos Aires, Buenos Aires, Argentina",18,79,56,286,6,14,Notebooks Grandmaster
"Gurugram, Haryana, India",9,25,43,908,NA,15,Notebooks Grandmaster
"Madrid, Community of Madrid, Spain",36,14,149,"2,010",8,16,Notebooks Grandmaster
"Santiago, Santiago Metropolitan Region, Chile",56,92,63,595,11,17,Notebooks Grandmaster
"Warsaw, Masovian Voivodeship, Poland",20,15,41,"1,818",10,18,Notebooks Grandmaster
NA,34,14,41,450,9,19,Notebooks Grandmaster
NA,19,76,35,"3,886",19,20,Notebooks Grandmaster
"Bengaluru, Karnataka, India",66,35,21,"1,503",14,21,Datasets Grandmaster
"Kobe, Hyogo, Japan",56,24,"1,218",291,NA,22,Datasets Expert
NA,19,19,58,641,22,23,Notebooks Master
"Vinnytsia, Vinnytsia Oblast, Ukraine",65,19,158,541,10,24,Notebooks Grandmaster
"Yokohama, Kanagawa, Japan",53,29,36,334,16,25,Notebooks Grandmaster
"Paris, Île-de-France, France",18,7,66,963,26,27,Notebooks Grandmaster
"Seoul, Seoul, South Korea",16,6,90,654,9,26,Notebooks Grandmaster
"California City, California, United States",42,33,30,695,8,28,Notebooks Grandmaster
"Navi Mumbai, Maharashtra, India",31,9,53,538,24,29,Notebooks Grandmaster
"Hwaseong-si, Gyeonggi-do, South Korea",3,4,37,"2,405",17,30,Notebooks Grandmaster
