Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Bordeaux, Nouvelle-Aquitaine, France",24,NA,16,214,71,849,Notebooks Master
"İstanbul, Istanbul, Turkey",NA,NA,27,126,773,775,Notebooks Expert
NA,34,13,24,224,628,861,Competitions Expert
,7,NA,19,13,635,862,Notebooks Expert
"Thiruvananthapuram, Kerala, India",3,5,15,136,409,863,Datasets Expert
NA,4,1,5,70,711,864,Notebooks Expert
NA,10,28,30,45,647,857,Datasets Expert
NA,1,9,13,33,818,822,Datasets Expert
"Jakarta, Jakarta, Indonesia",9,NA,13,75,165,860,Notebooks Master
"Saint Petersburg, Russia",4,1,8,55,648,845,Notebooks Expert
"New Delhi, Delhi, India",14,5,9,68,832,865,Notebooks Expert
"Saarbrücken, Saarland, Germany",10,7,6,42,236,870,Competitions Master
"Hachioji, Tokyo, Japan",5,3,17,9,818,871,Notebooks Expert
"Tokyo, Tokyo, Japan",1,NA,20,2,462,867,Notebooks Expert
"Bengaluru, Karnataka, India",3,NA,9,255,345,873,Notebooks Expert
"Paris, Île-de-France, France",11,1,14,229,556,874,Competitions Expert
"Melbourne, Victoria, Australia",NA,14,31,188,268,877,Datasets Expert
"Warsaw, Masovian Voivodeship, Poland",11,1,20,70,404,878,Notebooks Expert
"Bengaluru, Karnataka, India",1,1,52,78,851,879,Notebooks Expert
"Bahawalpur, Punjab, Pakistan",NA,4,9,117,822,828,Datasets Expert
,1,1,40,65,663,880,Notebooks Expert
"Mangaluru, Karnataka, India",1,NA,21,47,528,881,Notebooks Expert
"Chakwal, Punjab, Pakistan",NA,NA,7,283,832,869,Notebooks Expert
"Chemnitz, Saxony, Germany",NA,NA,5,152,581,872,Notebooks Expert
"Moscow, Russia",20,11,11,80,377,882,Competitions Expert
"Melbourne, Victoria, Australia",15,NA,26,222,61,883,Notebooks Master
"Antibes, Provence-Alpes-Côte d'Azur, France",13,4,16,88,640,884,Notebooks Expert
"Los Angeles, California, United States",3,7,9,179,713,885,Datasets Expert
"Tunis, Tunis, Tunisia",1,12,16,129,698,868,Datasets Expert
"Singapore, Singapore",4,1,13,106,848,886,Notebooks Expert
"Mumbai, Maharashtra, India",2,11,13,155,516,887,Datasets Expert
"New Delhi, Delhi, India",NA,5,13,235,NA,801,Datasets Expert
"Dhaka, Dhaka Division, Bangladesh",2,12,18,221,323,892,Datasets Master
"Delhi, Delhi, India",27,56,8,142,465,893,Competitions Master
"Hoboken, New Jersey, United States",1,1,9,145,554,876,Notebooks Expert
"Okayama, Okayama, Japan",11,NA,17,57,804,895,Notebooks Expert
"Gurugram, Haryana, India",NA,15,30,145,649,896,Datasets Expert
"Hangzhou, Zhejiang, China",5,6,14,89,608,897,Datasets Expert
"Kharagpur, West Bengal, India",NA,NA,6,66,856,858,Notebooks Expert
"Ghent, Flanders, Belgium",25,11,28,728,257,900,Competitions Master
"Jakarta, Jakarta, Indonesia",20,NA,14,76,504,889,Competitions Expert
NA,1,3,9,281,580,890,Datasets Expert
"Uppsala, Uppsala County, Sweden",3,NA,11,61,648,875,Notebooks Expert
"Bengaluru, Karnataka, India",94,20,55,740,376,891,Discussion Grandmaster
"Seoul, Seoul, South Korea",2,NA,9,231,549,894,Notebooks Expert
"Chennai, Tamil Nadu, India",4,14,54,22,456,905,Datasets Expert
NA,14,5,13,7,546,906,Competitions Master
"New Delhi, Delhi, India",45,4,29,13,694,907,Notebooks Expert
"Pune, Maharashtra, India",1,4,7,107,859,866,Notebooks Expert
"New Delhi, Delhi, India",21,2,30,33,476,899,Notebooks Expert
"Noida, Uttar Pradesh, India",3,3,7,151,731,911,Notebooks Expert
"Chandigarh, Punjab, India",10,4,21,477,103,912,Notebooks Master
"Alexandria, Alexandria Governorate, Egypt",2,1,9,26,NA,844,Notebooks Expert
"Osan-si, Gyeonggi-do, South Korea",1,7,39,15,872,904,Notebooks Expert
"Montreal, Quebec, Canada",3,NA,12,335,750,908,Notebooks Expert
"Ankara, Ankara, Turkey",3,3,14,10,888,909,Datasets Expert
"Bengaluru, Karnataka, India",2,5,44,3,474,910,Notebooks Expert
"Paradise Valley, Arizona, United States",3,2,15,44,890,917,Notebooks Expert
"Austin, Texas, United States",7,9,26,137,560,902,Datasets Expert
"Bengaluru, Karnataka, India",4,3,28,117,557,913,Notebooks Expert
"Hildesheim, Lower Saxony, Germany",1,1,7,115,879,914,Notebooks Expert
"Viçosa, State of Minas Gerais, Brazil",3,22,273,210,640,921,Notebooks Expert
"Jaipur, Rajasthan, India",NA,28,13,179,178,926,Notebooks Master
"Rajkot, Gujarat, India",6,35,14,122,756,927,Datasets Expert
"Hamburg, Hamburg, Germany",3,NA,6,9,775,928,Notebooks Expert
"Kochi, Kerala, India",6,1,10,157,885,922,Notebooks Expert
"Tunis, Tunis, Tunisia",9,NA,12,8,908,923,Notebooks Expert
"6th of October City, Giza Governorate, Egypt",NA,NA,7,28,903,916,Notebooks Expert
NA,2,41,246,208,296,931,Datasets Expert
"Chennai, Tamil Nadu, India",3,5,12,179,720,851,Datasets Expert
"New Delhi, Delhi, India",9,14,185,74,608,932,Datasets Expert
"Cremona, Lombardy, Italy",9,1,11,61,46,933,Notebooks Expert
"Bengaluru, Karnataka, India",73,4,5,231,909,934,Competitions Expert
"Moscow, Russia",23,19,14,82,903,918,Datasets Expert
"Paris, Île-de-France, France",31,13,23,215,235,924,Competitions Master
NA,NA,3,11,477,247,919,Notebooks Expert
NA,12,6,29,251,625,936,Competitions Expert
"Dhaka, Dhaka Division, Bangladesh",3,1,7,99,414,937,Notebooks Expert
"Moscow, Russia",25,11,87,297,163,925,Competitions Expert
"Colchester, England, United Kingdom",4,5,37,26,910,929,Notebooks Expert
"Vijayawada, Andhra Pradesh, India",6,6,23,209,622,940,Datasets Expert
"Howrah, West Bengal, India",6,1,12,431,339,935,Notebooks Expert
NA,15,15,15,157,310,942,Competitions Expert
"Charlotte, North Carolina, United States",1,8,33,24,NA,920,Datasets Expert
"Al Muqattam City, Cairo Governorate, Egypt",NA,3,10,343,304,944,Notebooks Expert
"Meta, Missouri, United States",15,33,54,104,457,945,Datasets Expert
"West Java, Indonesia",NA,NA,53,35,442,946,Notebooks Expert
"Niigata, Niigata, Japan",20,1,8,7,827,938,Notebooks Expert
"Mumbai, Maharashtra, India",1,13,20,115,927,930,Datasets Expert
"Onchan, Isle of Man",15,8,16,271,51,939,Competitions Master
,2,NA,22,117,801,949,Notebooks Expert
"Lahore, Punjab, Pakistan",NA,18,10,134,258,259,Datasets Master
"Raleigh, North Carolina, United States",2,NA,20,7,329,943,Notebooks Expert
"Banha, Al Qalyubia Governorate, Egypt",1,NA,8,53,905,915,Notebooks Expert
