Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank
"San Diego, California, United States",53,103,93,"7,897",NA
"Rio de Janeiro, State of Rio de Janeiro, Brazil",21,226,"1,817","18,234",NA
"Stavanger, Rogaland, Norway",229,106,137,"2,305",1
NA,14,2,44,632,NA
"Tokyo, Tokyo, Japan",65,20,55,400,4
"Brisbane, Queensland, Australia",19,7,28,320,NA
"Dhaka, Dhaka Division, Bangladesh",26,149,57,706,5
"Bucharest, Bucharest, Romania",10,32,46,331,5
"Golden, Colorado, United States",19,19,190,613,2
"London, Ontario, Canada",36,141,125,"1,046",NA
"Washington, District of Columbia, United States",97,60,153,"1,240",5
"Pune, Maharashtra, India",37,22,40,"1,121",10
"Istanbul, Istanbul, Turkey",NA,NA,33,853,4
"Buenos Aires, Buenos Aires, Argentina",18,79,56,286,6
"Gurugram, Haryana, India",9,25,43,908,NA
"Madrid, Community of Madrid, Spain",36,14,149,"2,008",8
"Santiago, Santiago Metropolitan Region, Chile",56,92,63,595,11
"Warsaw, Masovian Voivodeship, Poland",20,15,41,"1,818",10
NA,34,14,41,450,9
NA,19,69,35,"3,886",19
"Bengaluru, Karnataka, India",66,35,21,"1,503",14
"Kobe, Hyogo, Japan",56,24,"1,209",285,NA
NA,19,19,58,641,NA
"Vinnytsia, Vinnytsia Oblast, Ukraine",65,19,158,541,10
"Yokohama, Kanagawa, Japan",52,29,36,334,16
"Paris, Île-de-France, France",18,7,66,963,NA
"Seoul, Seoul, South Korea",16,6,90,654,9
"California City, California, United States",42,33,30,695,8
"Navi Mumbai, Maharashtra, India",31,9,53,538,24
"Hwaseong-si, Gyeonggi-do, South Korea",3,4,37,"2,405",17
"Ankara, Ankara, Turkey",33,2,37,"1,190",24
"Chennai, Tamil Nadu, India",113,17,82,800,1
"Dubai, Dubai, United Arab Emirates",88,13,100,"1,630",1
"Antalya, Antalya, Turkey",18,9,38,888,NA
"Haarlem, North Holland, Netherlands",117,76,83,"1,307",NA
"Burichang, Chittagong Division, Bangladesh",4,13,17,200,NA
"Vinnytsia, Vinnytsia Oblast, Ukraine",33,9,35,412,13
"Bucharest, Bucharest, Romania",104,114,254,"1,416",3
"Tokyo, Tokyo, Japan",44,10,29,290,11
"Greencastle, Indiana, United States",242,133,585,"1,442",5
"London, England, United Kingdom",18,5,22,582,NA
"Moscow, Russia",97,8,53,341,40
"Frankfurt, Hesse, Germany",10,1,37,227,31
"Vilnius, Vilnius County, Lithuania",68,26,47,"1,044",18
,37,104,120,822,5
"Pittsburgh, Pennsylvania, United States",20,44,25,531,25
NA,2,11,26,"1,590",NA
"Bengaluru, Karnataka, India",62,18,77,670,10
"Hyderabad, Telangana, India",110,382,"2,339",440,47
"Dubai, Dubai, United Arab Emirates",2,7,15,"2,812",40
"Hawally, Hawalli Governorate, Kuwait",17,25,87,315,30
"Singapore, Singapore",14,54,80,977,2
"Moscow, Russia",1,5,21,"2,109",NA
"Hyderabad, Telangana, India",9,21,52,281,7
"Jakarta, Jakarta, Indonesia",2,5,18,"3,564",53
"Boston, Massachusetts, United States",55,12,23,"2,258",1
"Seattle, Washington, United States",NA,107,270,"2,190",10
NA,NA,10,17,"2,191",NA
"Nizhny Novgorod, Nizhny Novgorod Oblast, Russia",19,NA,16,"2,191",37
"Philadelphia, Pennsylvania, United States",5,27,60,"1,373",60
"Paris, Île-de-France, France",58,61,44,811,27
"Pune, Maharashtra, India",19,5,46,862,61
"Pune, Maharashtra, India",2,12,15,"1,076",NA
"Saitama, Saitama, Japan",6,2,205,528,63
"İstanbul, İstanbul, Turkey",101,42,60,875,47
NA,9,1,33,210,58
"Pune, Maharashtra, India",1,17,18,"1,350",NA
"Sacramento, California, United States",38,8,91,575,55
"London, England, United Kingdom",9,18,23,44,NA
"New York, New York, United States",1,44,230,675,12
"Vancouver, British Columbia, Canada",6,NA,13,353,62
"Setif, Sétif Province, Algeria",44,4,45,572,45
"Verona, Veneto, Italy",225,6,87,901,43
"Tokyo, Tokyo, Japan",30,66,41,417,23
"Paris, Île-de-France, France",5,NA,6,24,17
"Saint Petersburg, Russia",21,12,24,430,59
"Madrid, Community of Madrid, Spain",7,4,25,"1,640",27
NA,103,1,42,172,54
"Cologne, North Rhine-Westphalia, Germany",25,23,39,254,18
"Gurugram, Haryana, India",17,27,29,458,69
"Jaipur, Rajasthan, India",18,16,66,582,54
NA,31,18,34,"1,377",80
"Sydney, New South Wales, Australia",NA,NA,15,"1,485",64
"Dubai, Dubai, United Arab Emirates",17,38,31,266,5
"İstanbul, İstanbul, Turkey",29,70,25,416,44
"Shahrbabak, Kerman Province, Iran",1,17,39,"1,623",70
"Prague, Prague, Czechia",18,12,66,197,82
"Warsaw, Masovian Voivodeship, Poland",29,15,64,408,51
NA,NA,3,19,"1,680",42
"Iloilo City, Western Visayas, Philippines",1,13,29,"1,103",NA
"Toronto, Ontario, Canada",2,3,49,221,26
"Amman, Amman Governorate, Jordan",1,10,31,"2,515",90
"Osaka, Osaka, Japan",32,10,39,822,59
"İstanbul, İstanbul, Turkey",6,21,19,17,89
"Seoul, Seoul, South Korea",47,39,809,8,61
"Kochi, Kerala, India",17,12,38,947,18
"Kolkata, West Bengal, India",13,34,67,321,58
"London, England, United Kingdom",25,16,55,"1,137",23
"Gdańsk, Pomeranian Voivodeship, Poland",25,18,34,"1,413",71
"Battle Mountain, Nevada, United States",42,6,48,"1,514",96
"Bengaluru, Karnataka, India",1,16,24,360,32
"Scottsdale, Arizona, United States",2,19,549,161,99
"6th of October City, Giza Governorate, Egypt",13,12,95,"1,520",90
"Kharkiv, Kharkiv Oblast, Ukraine",44,5,54,319,8
"Kraków, Lesser Poland Voivodeship, Poland",7,11,21,340,48
"Ikeda, Osaka, Japan",16,NA,38,326,85
"Curitiba, State of Paraná, Brazil",244,20,114,986,23
"Andijan, Andijan region, Uzbekistan",3,NA,22,286,55
"Rio de Janeiro, State of Rio de Janeiro, Brazil",167,2,93,290,17
"Isfahan, Isfahan Province, Iran",2,NA,16,"1,271",98
"Amsterdam, North Holland, Netherlands",49,14,91,686,21
"Arnhem-Nijmegen Metropolitan Area, Gelderland, Netherlands",16,NA,30,"1,333",98
"İstanbul, İstanbul, Turkey",12,11,42,867,54
"Munich, Bavaria, Germany",88,2,188,203,88
"Kolkata, West Bengal, India",NA,19,11,"1,065",NA
"Campina Grande, State of Paraíba, Brazil",35,37,58,"1,180",40
"Tokyo, Tokyo, Japan",16,17,41,623,22
"Surat, Gujarat, India",2,4,25,749,NA
"Montreal, Quebec, Canada",42,26,158,"1,181",79
"Delhi, Delhi, India",5,NA,20,369,65
"Guangzhou, Guangdong Province, China",50,22,130,344,79
"Gaithersburg, Maryland, United States",33,27,39,"1,255",16
"Bizerte, Bizerte, Tunisia",34,5,27,496,82
"Amsterdam, North Holland, Netherlands",3,2,17,970,26
"Jakarta, Jakarta, Indonesia",13,1,19,"1,931",41
"Budapest, Hungary",27,4,47,608,15
"New Delhi, Delhi, India",6,8,15,"1,012",104
"Madurai, Tamil Nadu, India",49,14,58,655,115
"Paris, Île-de-France, France",59,27,7,"1,243",21
"Chandannagar, West Bengal, India",5,5,15,660,129
"London, England, United Kingdom",12,NA,29,308,1
"Incheon, Incheon, South Korea",45,2,62,687,74
,5,NA,10,"1,045",132
"Majitar, Sikkim, India",5,5,50,714,56
"Amherst, Massachusetts, United States",38,4,70,391,9
"Peravali, Andhra Pradesh, India",NA,2,12,940,NA
"Moscow, Russia",7,1,14,656,115
"Chennai, Tamil Nadu, India",4,NA,16,680,123
"San Francisco, California, United States",8,40,34,549,116
