Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank
NA,6,1,20,124,439
,49,NA,35,452,15
"Glastonbury, Connecticut, United States",NA,1,15,257,96
"İstanbul, İstanbul, Turkey",13,3,14,231,424
"Lucknow, Uttar Pradesh, India",77,10,37,992,246
"Giridih, Jharkhand, India",9,1,13,34,449
"Chongqing, Chongqing, China",9,9,10,202,425
"Chennai, Tamil Nadu, India",13,19,24,306,411
"Singapore, Singapore",18,6,50,278,329
NA,1,1,12,197,216
"Tel Aviv-Yafo, Tel Aviv District, Israel",49,26,25,57,103
NA,7,12,38,387,412
"Lucknow, Uttar Pradesh, India",4,2,13,204,421
"Bloomington, Indiana, United States",2,NA,20,699,160
"Tokyo, Tokyo, Japan",1,NA,6,26,439
"Pune, Maharashtra, India",37,23,34,383,58
"Hafizabad, Punjab, Pakistan",8,4,10,247,464
"Moscow, Russia",NA,NA,15,67,412
"Tokyo, Tokyo, Japan",90,1,44,265,456
NA,37,17,13,247,85
"Amagasaki, Hyogo, Japan",8,8,13,25,316
"Osaka, Osaka, Japan",42,139,18,432,235
"Pune, Maharashtra, India",NA,5,5,234,466
"Bhagalpur, Bihar, India",13,7,66,179,364
"Jaipur, Rajasthan, India",NA,5,21,651,128
"Mumbai, Maharashtra, India",17,215,17,576,143
"Coimbatore, Tamil Nadu, India",NA,NA,12,180,475
"Sapporo, Hokkaido, Japan",10,4,19,425,95
"Aswan, Aswan Governorate, Egypt",4,1,15,461,285
"Shiraz, Fars Province, Iran",1,14,24,57,472
"Milan, Lombardy, Italy",10,1,25,212,163
"Nantes, Pays de la Loire, France",10,14,28,207,221
"Bengaluru, Karnataka, India",2,2,15,304,256
NA,8,2,18,67,262
"Houston, Texas, United States",3,1,15,387,181
"Los Angeles, California, United States",110,15,30,166,129
"Toronto, Ontario, Canada",15,5,10,59,381
"Aomori, Aomori, Japan",18,4,22,161,430
"Kolkata, West Bengal, India",5,4,25,592,260
"Nakhon Ratchasima, Thailand",30,80,35,837,38
"Austin, Texas, United States",2,1,20,516,142
"Ahmedabad, Gujarat, India",NA,NA,10,102,396
"Ankara, Ankara, Turkey",3,5,35,6,341
"Chennai, Tamil Nadu, India",2,6,20,429,352
"Shanghai, Shanghai, China",27,9,8,403,452
"Reading, England, United Kingdom",34,4,169,19,490
"Tehran, Tehran Province, Iran",NA,5,19,503,265
"Chennai, Tamil Nadu, India",4,3,16,179,226
"Kyiv, Ukraine",7,5,47,196,412
"İstanbul, İstanbul, Turkey",3,NA,30,120,357
"Amsterdam, North Holland, Netherlands",17,2,17,162,42
"Dhaka, Dhaka Division, Bangladesh",NA,NA,13,198,408
"Durgapur, West Bengal, India",12,4,35,249,311
"Istanbul, Istanbul, Turkey",15,15,64,672,344
"Chennai, Tamil Nadu, India",10,15,8,613,484
"Seoul, Seoul, South Korea",10,NA,67,218,348
NA,NA,9,69,432,471
"Dallas, Texas, United States",9,18,20,250,326
NA,24,1,11,87,434
"Gelderland, Netherlands",45,9,16,477,150
"Dehradun, Uttarakhand, India",23,3,50,201,311
"Seattle, Washington, United States",2,1,11,606,491
"Reading, England, United Kingdom",13,6,15,313,89
"Kawasaki, Kanagawa, Japan",8,1,14,32,474
NA,9,NA,21,43,487
"Freiburg im Breisgau, Baden-Württemberg, Germany",1,2,16,84,493
"London, England, United Kingdom",27,1,22,166,437
"Osaka, Osaka, Japan",7,1,6,44,177
"Beijing, Beijing, China",62,47,15,112,98
"Fuzhou, Fujian, China",36,4,40,80,234
"İstanbul, İstanbul, Turkey",NA,NA,17,817,147
"Bloomington, Indiana, United States",1,2,13,83,447
NA,3,NA,10,11,NA
"Nepalgunj, Lumbini Province, Nepal",1,3,23,57,211
