Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank
NA,22,4,30,221,551
"Earth, Texas, United States",14,6,11,123,517
"Tehran, Tehran Province, Iran",2,12,19,130,485
"London, England, United Kingdom",5,8,45,812,305
NA,3,1,6,19,417
"Seoul, Seoul, South Korea",1,5,35,37,489
"Chicago, Illinois, United States",13,18,11,97,334
"Theni, Tamil Nadu, India",25,5,45,149,499
"Peravali, Andhra Pradesh, India",1,3,14,163,570
"Ahmedabad, Gujarat, India",19,74,61,394,78
"Karachi, Sindh, Pakistan",NA,6,11,6,358
"Linz, Upper Austria, Austria",9,5,8,191,25
"Mumbai, Maharashtra, India",13,4,47,78,560
"Jaipur, Rajasthan, India",4,3,22,"1,006",101
Jammu,13,6,33,168,429
"Tokyo, Tokyo, Japan",28,7,8,73,433
NA,15,15,15,146,47
"Ho Chi Minh City, Ho Chi Minh City, Vietnam",20,3,11,144,200
"Lahore, Punjab, Pakistan",NA,NA,8,213,506
NA,28,4,15,128,251
"Bogor, West Java, Indonesia",14,4,29,377,307
"Patna, Bihar, India",NA,NA,10,125,556
"Ankara, Ankara, Turkey",3,4,26,110,568
"Pune, Maharashtra, India",1,NA,6,219,574
"Budapest, Hungary",79,15,78,713,7
"Bozeman, Montana, United States",26,1,42,"1,685",10
"San Jose, California, United States",9,6,18,337,98
"Tokyo, Tokyo, Japan",21,343,26,52,264
"Berlin, Berlin, Germany",51,6,18,236,94
"Okinawa, Okinawa, Japan",4,8,36,97,NA
"Hammamet, Nabeul, Tunisia",6,8,29,93,553
"Tainan, Tainan City, Taiwan",3,1,7,135,506
"Ankara, Ankara, Turkey",2,7,13,148,580
"Damoh, Madhya Pradesh, India",25,1,30,160,292
NA,NA,6,11,241,357
"Pune, Maharashtra, India",20,1,14,87,18
"Ottawa, Ontario, Canada",12,NA,22,230,300
"Rotterdam, South Holland, Netherlands",NA,13,38,568,272
NA,2,NA,17,30,600
"Taipei, Taiwan",8,19,59,171,142
"Seoul, Seoul, South Korea",5,11,15,142,410
NA,12,5,27,139,40
"Hanoi, Hanoi, Vietnam",3,7,10,89,102
"Greater Noida, Uttar Pradesh, India",NA,5,11,427,262
"Mumbai, Maharashtra, India",NA,1,16,199,345
"Daejeon, Daejeon, South Korea",8,5,25,275,481
NA,18,1,39,109,607
"Rasht, Gilan Province, Iran",NA,NA,14,194,329
"Ho Chi Minh City, Ho Chi Minh City, Vietnam",32,11,27,509,34
"Lucknow, Uttar Pradesh, India",2,1,7,406,177
"Dresden, Saxony, Germany",NA,NA,43,90,261
"Patiala, Punjab, India",NA,3,31,270,476
